id,name,position_gw1,team_gw1,prob_injury_gw1,ep_cost_gw1,xmins_gw1,ep_gw1,position_gw2,team_gw2,prob_injury_gw2,ep_cost_gw2,xmins_gw2,ep_gw2,position_gw3,team_gw3,prob_injury_gw3,ep_cost_gw3,xmins_gw3,ep_gw3,position_gw4,team_gw4,prob_injury_gw4,ep_cost_gw4,xmins_gw4,ep_gw4,position_gw5,team_gw5,prob_injury_gw5,ep_cost_gw5,xmins_gw5,ep_gw5,position_gw6,team_gw6,prob_injury_gw6,ep_cost_gw6,xmins_gw6,ep_gw6,position_gw7,team_gw7,prob_injury_gw7,ep_cost_gw7,xmins_gw7,ep_gw7,position_gw8,team_gw8,prob_injury_gw8,ep_cost_gw8,xmins_gw8,ep_gw8,position_gw9,team_gw9,prob_injury_gw9,ep_cost_gw9,xmins_gw9,ep_gw9,position_gw10,team_gw10,prob_injury_gw10,ep_cost_gw10,xmins_gw10,ep_gw10,position_gw11,team_gw11,prob_injury_gw11,ep_cost_gw11,xmins_gw11,ep_gw11,position_gw12,team_gw12,prob_injury_gw12,ep_cost_gw12,xmins_gw12,ep_gw12,position_gw13,team_gw13,prob_injury_gw13,ep_cost_gw13,xmins_gw13,ep_gw13,position_gw14,team_gw14,prob_injury_gw14,ep_cost_gw14,xmins_gw14,ep_gw14,position_gw15,team_gw15,prob_injury_gw15,ep_cost_gw15,xmins_gw15,ep_gw15,position_gw16,team_gw16,prob_injury_gw16,ep_cost_gw16,xmins_gw16,ep_gw16,position_gw17,team_gw17,prob_injury_gw17,ep_cost_gw17,xmins_gw17,ep_gw17,position_gw18,team_gw18,prob_injury_gw18,ep_cost_gw18,xmins_gw18,ep_gw18,position_gw19,team_gw19,prob_injury_gw19,ep_cost_gw19,xmins_gw19,ep_gw19,position_gw20,team_gw20,prob_injury_gw20,ep_cost_gw20,xmins_gw20,ep_gw20,position_gw21,team_gw21,prob_injury_gw21,ep_cost_gw21,xmins_gw21,ep_gw21,position_gw22,team_gw22,prob_injury_gw22,xmins_gw22,ep_cost_gw22,ep_gw22,position_gw23,team_gw23,prob_injury_gw23,ep_cost_gw23,xmins_gw23,ep_gw23,position_gw24,team_gw24,prob_injury_gw24,ep_cost_gw24,xmins_gw24,ep_gw24,position_gw25,team_gw25,prob_injury_gw25,ep_cost_gw25,xmins_gw25,ep_gw25,position_gw26,team_gw26,prob_injury_gw26,ep_cost_gw26,xmins_gw26,ep_gw26,position_gw27,team_gw27,prob_injury_gw27,ep_cost_gw27,xmins_gw27,ep_gw27,position_gw28,team_gw28,prob_injury_gw28,ep_cost_gw28,xmins_gw28,ep_gw28,position_gw29,team_gw29,prob_injury_gw29,ep_cost_gw29,xmins_gw29,ep_gw29,position_gw30,team_gw30,prob_injury_gw30,ep_cost_gw30,xmins_gw30,ep_gw30,position_gw31,team_gw31,prob_injury_gw31,ep_cost_gw31,xmins_gw31,ep_gw31,position_gw32,team_gw32,prob_injury_gw32,xmins_gw32,ep_cost_gw32,ep_gw32,position_gw33,team_gw33,prob_injury_gw33,ep_cost_gw33,xmins_gw33,ep_gw33,position_gw34,team_gw34,prob_injury_gw34,xmins_gw34,ep_cost_gw34,ep_gw34,position_gw35,team_gw35,prob_injury_gw35,ep_cost_gw35,xmins_gw35,ep_gw35,total_xmins,total_xpts
1,Fábio Vieira,MID,ARS,0.25,5.5,0.0,0.0,MID,ARS,0.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,0.0,5.4,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,0.0,5.4,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,0.0,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,0.0,0.0
2,G.Jesus,FWD,ARS,0.0,7.0,5.0,0.0,FWD,ARS,0.25,6.9,0.0,0.0,FWD,ARS,0.5,6.8,0.0,0.0,FWD,ARS,0.0,6.8,10.0,1.0,FWD,ARS,0.0,6.8,3.0,0.0,FWD,ARS,0.0,6.8,1.0,1.0,FWD,ARS,0.0,6.8,59.0,1.0,FWD,ARS,0.0,6.8,10.0,1.0,FWD,ARS,0.0,6.8,5.0,0.0,FWD,ARS,0.0,6.8,19.0,1.0,FWD,ARS,0.0,6.8,9.0,1.0,FWD,ARS,0.0,6.8,90.0,1.0,FWD,ARS,0.0,6.8,16.0,1.0,FWD,ARS,0.0,6.8,0.0,0.0,FWD,ARS,0.0,6.8,16.0,1.0,FWD,ARS,0.0,6.7,21.0,1.0,FWD,ARS,0.0,6.8,85.0,16.0,FWD,ARS,0.0,6.8,71.0,2.0,FWD,ARS,0.0,6.8,90.0,12.0,FWD,ARS,0.0,6.9,90.0,2.0,FWD,ARS,1.0,6.7,0.0,0.0,FWD,ARS,1.0,0.0,6.7,0.0,FWD,ARS,1.0,6.6,0.0,0.0,FWD,ARS,1.0,6.6,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,0.0,6.5,0.0,FWD,ARS,1.0,6.5,0.0,0.0,FWD,ARS,1.0,0.0,0.0,0.0,FWD,ARS,1.0,6.5,0.0,0.0,600.0,42.0
3,Gabriel,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.0,90.0,2.0,DEF,ARS,0.0,6.0,90.0,15.0,DEF,ARS,0.0,6.1,90.0,7.0,DEF,ARS,0.0,6.2,90.0,1.0,DEF,ARS,0.0,6.2,90.0,2.0,DEF,ARS,0.0,6.3,90.0,1.0,DEF,ARS,0.25,6.3,53.0,1.0,DEF,ARS,0.0,6.2,90.0,2.0,DEF,ARS,0.0,6.1,90.0,2.0,DEF,ARS,0.25,6.2,90.0,6.0,DEF,ARS,0.25,6.2,45.0,9.0,DEF,ARS,0.25,6.2,0.0,0.0,DEF,ARS,0.25,6.2,0.0,0.0,DEF,ARS,0.0,6.2,90.0,9.0,DEF,ARS,0.0,6.3,90.0,4.0,DEF,ARS,0.0,6.3,90.0,6.0,DEF,ARS,0.0,6.4,90.0,2.0,DEF,ARS,0.0,6.4,90.0,2.0,DEF,ARS,0.0,6.4,90.0,1.0,DEF,ARS,0.0,90.0,6.4,1.0,DEF,ARS,0.0,6.4,90.0,7.0,DEF,ARS,0.0,6.3,90.0,2.0,DEF,ARS,0.0,6.3,90.0,6.0,DEF,ARS,0.0,6.3,90.0,2.0,DEF,ARS,0.0,6.3,90.0,7.0,DEF,ARS,0.0,6.3,90.0,2.0,DEF,ARS,0.0,6.4,90.0,5.0,DEF,ARS,1.0,6.3,15.0,1.0,DEF,ARS,1.0,6.2,0.0,0.0,DEF,ARS,0.0,0.0,6.2,0.0,DEF,ARS,1.0,6.2,0.0,0.0,DEF,ARS,0.0,0.0,0.0,0.0,DEF,ARS,1.0,6.2,0.0,0.0,2363.0,117.0
4,Havertz,FWD,ARS,0.0,8.0,90.0,12.0,FWD,ARS,0.0,8.1,90.0,2.0,FWD,ARS,0.0,8.1,90.0,8.0,FWD,ARS,0.0,8.1,90.0,2.0,FWD,ARS,0.0,8.1,90.0,2.0,FWD,ARS,0.0,8.2,90.0,6.0,FWD,ARS,0.0,8.3,90.0,8.0,FWD,ARS,0.0,8.3,90.0,2.0,FWD,ARS,0.0,8.2,90.0,2.0,FWD,ARS,0.25,8.1,90.0,1.0,FWD,ARS,0.0,8.0,90.0,1.0,FWD,ARS,0.0,7.9,0.0,0.0,FWD,ARS,0.0,7.9,90.0,6.0,FWD,ARS,0.0,7.9,90.0,2.0,FWD,ARS,0.0,7.9,73.0,5.0,FWD,ARS,0.0,7.9,90.0,2.0,FWD,ARS,0.0,7.9,57.0,6.0,FWD,ARS,0.0,7.9,90.0,7.0,FWD,ARS,0.25,7.9,0.0,0.0,FWD,ARS,0.25,7.9,0.0,0.0,FWD,ARS,0.0,7.8,90.0,1.0,FWD,ARS,0.0,90.0,7.8,7.0,FWD,ARS,0.0,7.8,90.0,2.0,FWD,ARS,0.75,7.8,89.0,12.0,FWD,ARS,1.0,7.8,0.0,0.0,FWD,ARS,1.0,7.8,0.0,0.0,FWD,ARS,1.0,7.7,0.0,0.0,FWD,ARS,1.0,7.7,0.0,0.0,FWD,ARS,1.0,7.7,0.0,0.0,FWD,ARS,1.0,7.7,0.0,0.0,FWD,ARS,1.0,7.7,0.0,0.0,FWD,ARS,0.0,0.0,7.7,0.0,FWD,ARS,1.0,7.7,0.0,0.0,FWD,ARS,0.0,0.0,0.0,0.0,FWD,ARS,0.75,7.7,0.0,0.0,1839.0,96.0
5,Hein,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,0.0,4.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,0.0,4.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,0.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,0.0,0.0
6,J.Timber,DEF,ARS,0.0,5.5,21.0,1.0,DEF,ARS,0.0,5.5,78.0,6.0,DEF,ARS,0.0,5.5,79.0,1.0,DEF,ARS,0.0,5.5,90.0,5.0,DEF,ARS,0.0,5.5,90.0,2.0,DEF,ARS,0.0,5.5,90.0,4.0,DEF,ARS,0.25,5.5,0.0,0.0,DEF,ARS,0.25,5.5,0.0,0.0,DEF,ARS,0.25,5.5,75.0,2.0,DEF,ARS,0.0,5.5,70.0,1.0,DEF,ARS,0.0,5.5,90.0,2.0,DEF,ARS,0.0,5.5,87.0,6.0,DEF,ARS,0.0,5.5,90.0,1.0,DEF,ARS,0.0,5.6,90.0,14.0,DEF,ARS,0.0,5.7,90.0,2.0,DEF,ARS,0.0,5.7,90.0,6.0,DEF,ARS,0.0,5.7,85.0,1.0,DEF,ARS,0.0,5.7,90.0,9.0,DEF,ARS,1.0,5.7,90.0,1.0,DEF,ARS,0.0,5.7,0.0,0.0,DEF,ARS,0.0,5.7,90.0,2.0,DEF,ARS,0.0,90.0,5.7,1.0,DEF,ARS,0.0,5.6,90.0,5.0,DEF,ARS,0.0,5.6,90.0,1.0,DEF,ARS,0.0,5.6,90.0,6.0,DEF,ARS,0.0,5.6,90.0,2.0,DEF,ARS,0.0,5.6,84.0,6.0,DEF,ARS,0.0,5.6,90.0,5.0,DEF,ARS,0.0,5.6,90.0,9.0,DEF,ARS,0.25,5.6,76.0,7.0,DEF,ARS,0.0,5.6,29.0,1.0,DEF,ARS,0.0,21.0,5.6,1.0,DEF,ARS,0.0,5.7,90.0,4.0,DEF,ARS,0.0,0.0,0.0,0.0,DEF,ARS,0.0,5.6,0.0,0.0,2415.0,114.0
7,Jorginho,MID,ARS,0.0,5.0,0.0,0.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,90.0,2.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,60.0,2.0,MID,ARS,0.0,4.8,0.0,0.0,MID,ARS,0.0,4.8,0.0,0.0,MID,ARS,0.0,4.8,4.0,0.0,MID,ARS,0.0,4.8,0.0,0.0,MID,ARS,0.0,4.7,45.0,0.0,MID,ARS,0.0,4.7,90.0,2.0,MID,ARS,0.0,4.7,1.0,1.0,MID,ARS,0.0,4.7,73.0,2.0,MID,ARS,0.0,4.7,28.0,1.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,2.0,1.0,MID,ARS,0.0,4.7,63.0,2.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,0.0,4.7,0.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,15.0,0.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,69.0,3.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.7,0.0,0.0,MID,ARS,0.0,4.6,70.0,1.0,MID,ARS,0.0,90.0,4.6,2.0,MID,ARS,0.75,4.6,0.0,0.0,MID,ARS,0.0,0.0,0.0,0.0,MID,ARS,0.0,4.6,0.0,0.0,700.0,19.0
8,Kiwior,DEF,ARS,0.0,5.0,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,ARS,0.0,4.8,16.0,1.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,1.0,1.0,DEF,ARS,0.0,4.8,43.0,0.0,DEF,ARS,0.0,4.8,36.0,1.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,2.0,1.0,DEF,ARS,0.0,4.8,45.0,1.0,DEF,ARS,0.0,4.8,90.0,6.0,DEF,ARS,0.0,4.8,90.0,2.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,0.0,4.8,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,74.0,2.0,DEF,ARS,0.0,4.8,90.0,2.0,DEF,ARS,0.0,90.0,4.8,2.0,DEF,ARS,0.0,4.8,180.0,13.0,DEF,ARS,0.0,0.0,0.0,0.0,DEF,ARS,0.0,4.8,0.0,0.0,757.0,32.0
9,Martinelli,MID,ARS,0.0,7.0,90.0,3.0,MID,ARS,0.0,7.0,64.0,3.0,MID,ARS,0.0,6.9,16.0,1.0,MID,ARS,0.0,6.9,79.0,3.0,MID,ARS,0.0,6.9,86.0,5.0,MID,ARS,0.0,6.9,73.0,13.0,MID,ARS,0.0,7.0,30.0,6.0,MID,ARS,0.0,7.0,26.0,1.0,MID,ARS,0.0,7.0,84.0,2.0,MID,ARS,0.0,6.9,60.0,2.0,MID,ARS,0.0,6.9,70.0,8.0,MID,ARS,0.0,6.9,0.0,0.0,MID,ARS,0.0,6.9,0.0,0.0,MID,ARS,0.0,6.8,70.0,3.0,MID,ARS,0.0,6.8,30.0,0.0,MID,ARS,0.0,6.7,73.0,3.0,MID,ARS,0.0,6.7,90.0,7.0,MID,ARS,0.0,6.8,90.0,3.0,MID,ARS,0.0,6.8,90.0,9.0,MID,ARS,0.0,6.8,45.0,1.0,MID,ARS,0.0,6.7,29.0,1.0,MID,ARS,0.0,81.0,6.7,7.0,MID,ARS,0.0,6.7,86.0,3.0,MID,ARS,0.75,6.7,90.0,5.0,MID,ARS,1.0,6.6,0.0,0.0,MID,ARS,1.0,6.6,0.0,0.0,MID,ARS,1.0,6.5,0.0,0.0,MID,ARS,0.0,6.5,32.0,1.0,MID,ARS,0.0,6.5,78.0,3.0,MID,ARS,0.0,6.5,90.0,5.0,MID,ARS,0.0,6.5,45.0,1.0,MID,ARS,0.0,90.0,6.5,2.0,MID,ARS,0.0,6.5,162.0,10.0,MID,ARS,0.0,0.0,0.0,0.0,MID,ARS,0.0,6.5,0.0,0.0,1949.0,111.0
10,R. Nelson,MID,ARS,0.0,5.0,0.0,0.0,MID,ARS,0.0,5.0,2.0,1.0,MID,FUL,0.0,5.0,0.0,0.0,MID,FUL,0.0,5.0,24.0,0.0,MID,FUL,0.0,5.0,16.0,7.0,MID,FUL,0.0,5.0,21.0,1.0,MID,FUL,0.0,5.0,13.0,4.0,MID,FUL,0.0,5.0,22.0,1.0,MID,FUL,0.0,5.0,22.0,1.0,MID,FUL,0.0,5.0,81.0,2.0,MID,FUL,0.0,5.0,81.0,3.0,MID,FUL,0.0,5.0,70.0,2.0,MID,FUL,0.0,5.0,61.0,3.0,MID,FUL,1.0,5.0,70.0,2.0,MID,FUL,0.75,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,0.0,5.0,0.0,MID,FUL,0.5,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,0.0,5.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,MID,FUL,1.0,0.0,5.0,0.0,MID,FUL,1.0,5.0,0.0,0.0,483.0,27.0
