id,name,position_gw1,team_gw1,prob_injury_gw1,xcost_gw1,xmins_gw1,xpts_gw1,position_gw2,team_gw2,prob_injury_gw2,xcost_gw2,xmins_gw2,xpts_gw2,position_gw3,team_gw3,prob_injury_gw3,xcost_gw3,xmins_gw3,xpts_gw3,position_gw4,team_gw4,prob_injury_gw4,xcost_gw4,xmins_gw4,xpts_gw4,total_xmins,total_xpts
1,Raya,GKP,ARS,0.0,5.5,90.0,10.0,GKP,ARS,0.0,5.5,90.0,6.0,GKP,ARS,0.0,5.5,90.0,2.0,GKP,ARS,0.0,5.5,90.0,6.0,360.0,24.0
2,Arrizabalaga,GKP,ARS,0.0,4.5,0.0,0.0,GKP,ARS,0.0,4.5,0.0,0.0,GKP,ARS,0.0,4.4,0.0,0.0,GKP,ARS,0.0,4.4,0.0,0.0,0.0,0.0
3,Hein,GKP,ARS,0.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,0.0,0.0
4,Setford,GKP,ARS,0.0,4.0,0.0,0.0,GKP,ARS,0.0,4.0,0.0,0.0,GKP,ARS,0.0,4.0,0.0,0.0,GKP,ARS,0.0,4.0,0.0,0.0,0.0,0.0
5,Gabriel,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.1,90.0,6.0,DEF,ARS,0.0,6.1,90.0,2.0,DEF,ARS,0.0,6.1,90.0,9.0,360.0,23.0
6,Saliba,DEF,ARS,0.0,6.0,90.0,9.0,DEF,ARS,0.0,6.1,90.0,6.0,DEF,ARS,0.25,6.1,4.0,1.0,DEF,ARS,0.25,6.0,0.0,0.0,184.0,16.0
7,Calafiori,DEF,ARS,0.0,5.5,71.0,13.0,DEF,ARS,0.0,5.6,63.0,13.0,DEF,ARS,0.0,5.7,90.0,2.0,DEF,ARS,0.0,5.7,67.0,5.0,291.0,33.0
8,J.Timber,DEF,ARS,0.0,5.5,19.0,0.0,DEF,ARS,0.0,5.6,63.0,24.0,DEF,ARS,0.0,5.6,90.0,2.0,DEF,ARS,0.0,5.7,90.0,8.0,262.0,34.0
9,Kiwior,DEF,ARS,0.0,5.5,0.0,0.0,DEF,ARS,0.0,5.4,0.0,0.0,DEF,ARS,1.0,5.4,0.0,0.0,DEF,ARS,1.0,5.4,0.0,0.0,0.0,0.0
10,Lewis-Skelly,DEF,ARS,0.0,5.5,18.0,0.0,DEF,ARS,0.0,5.4,26.0,1.0,DEF,ARS,0.0,5.4,0.0,0.0,DEF,ARS,0.0,5.3,22.0,1.0,66.0,2.0
11,White,DEF,ARS,0.0,5.5,70.0,6.0,DEF,ARS,0.25,5.5,0.0,0.0,DEF,ARS,0.5,5.4,0.0,0.0,DEF,ARS,0.0,5.4,0.0,0.0,70.0,6.0
12,Zinchenko,DEF,ARS,0.0,5.0,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,NOT,0.0,4.9,0.0,0.0,DEF,NOT,0.0,4.9,0.0,0.0,0.0,0.0
13,Clarke,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,0.0,0.0
14,Kacurri,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,3.9,0.0,0.0,0.0,0.0
15,Nichols,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,DEF,ARS,0.0,4.0,0.0,0.0,0.0,0.0
16,Saka,MID,ARS,0.0,10.0,90.0,3.0,MID,ARS,0.5,10.0,52.0,6.0,MID,ARS,1.0,9.9,0.0,0.0,MID,ARS,1.0,9.8,0.0,0.0,142.0,9.0
17,Ødegaard,MID,ARS,0.0,8.0,90.0,5.0,MID,ARS,0.25,8.0,37.0,1.0,MID,ARS,0.0,7.9,20.0,1.0,MID,ARS,0.25,7.9,17.0,1.0,164.0,8.0
18,Madueke,MID,ARS,0.0,7.0,30.0,1.0,MID,ARS,0.0,7.0,63.0,3.0,MID,ARS,0.0,7.0,88.0,2.0,MID,ARS,0.0,7.0,78.0,3.0,259.0,9.0
19,Martinelli,MID,ARS,0.0,7.0,59.0,1.0,MID,ARS,0.0,7.0,0.0,0.0,MID,ARS,0.0,6.9,69.0,3.0,MID,ARS,0.0,6.9,12.0,1.0,140.0,5.0
20,Trossard,MID,ARS,0.0,7.0,0.0,0.0,MID,ARS,0.0,6.9,37.0,1.0,MID,ARS,0.0,6.9,0.0,0.0,MID,ARS,0.0,6.9,11.0,4.0,48.0,5.0
21,Rice,MID,ARS,0.0,6.5,82.0,6.0,MID,ARS,0.0,6.5,90.0,6.0,MID,ARS,0.0,6.5,90.0,4.0,MID,ARS,0.0,6.5,22.0,1.0,284.0,17.0
