id,name,position_gw1,team_gw1,prob_injury_gw1,ep_cost_gw1,xmins_gw1,ep_gw1,position_gw2,team_gw2,prob_injury_gw2,ep_cost_gw2,xmins_gw2,ep_gw2,position_gw3,team_gw3,prob_injury_gw3,ep_cost_gw3,xmins_gw3,ep_gw3,position_gw4,team_gw4,prob_injury_gw4,ep_cost_gw4,xmins_gw4,ep_gw4,position_gw5,team_gw5,prob_injury_gw5,ep_cost_gw5,xmins_gw5,ep_gw5,position_gw6,team_gw6,prob_injury_gw6,ep_cost_gw6,xmins_gw6,ep_gw6,position_gw7,team_gw7,prob_injury_gw7,ep_cost_gw7,xmins_gw7,ep_gw7,position_gw8,team_gw8,prob_injury_gw8,ep_cost_gw8,xmins_gw8,ep_gw8,position_gw9,team_gw9,prob_injury_gw9,ep_cost_gw9,xmins_gw9,ep_gw9,position_gw10,team_gw10,prob_injury_gw10,ep_cost_gw10,xmins_gw10,ep_gw10,position_gw11,team_gw11,prob_injury_gw11,total_xmins,ep_cost_gw11,total_xpts,xmins_gw11,ep_gw11
1,Fábio Vieira,MID,ARS,0.25,5.5,0.0,0.0,MID,ARS,0.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,5.4,0.0,0.0,MID,ARS,1.0,0,5.4,0,0.0,0.0
2,G.Jesus,FWD,ARS,0.0,7.0,5.0,0.0,FWD,ARS,0.25,6.9,0.0,0.0,FWD,ARS,0.5,6.8,0.0,0.0,FWD,ARS,0.0,6.8,10.0,1.0,FWD,ARS,0.0,6.8,3.0,0.0,FWD,ARS,0.0,6.8,1.0,1.0,FWD,ARS,0.0,6.8,59.0,1.0,FWD,ARS,0.0,6.8,10.0,1.0,FWD,ARS,0.0,6.8,5.0,0.0,FWD,ARS,0.0,6.8,19.0,1.0,FWD,ARS,0.0,121,6.8,6,9.0,1.0
3,Gabriel,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.0,90.0,2.0,DEF,ARS,0.0,6.0,90.0,15.0,DEF,ARS,0.0,6.1,90.0,7.0,DEF,ARS,0.0,6.2,90.0,1.0,DEF,ARS,0.0,6.2,90.0,2.0,DEF,ARS,0.0,6.3,90.0,1.0,DEF,ARS,0.25,6.3,53.0,1.0,DEF,ARS,0.0,6.2,90.0,2.0,DEF,ARS,0.0,953,6.1,45,90.0,2.0
4,Havertz,FWD,ARS,0.0,8.0,90.0,12.0,FWD,ARS,0.0,8.1,90.0,2.0,FWD,ARS,0.0,8.1,90.0,8.0,FWD,ARS,0.0,8.1,90.0,2.0,FWD,ARS,0.0,8.1,90.0,2.0,FWD,ARS,0.0,8.2,90.0,6.0,FWD,ARS,0.0,8.3,90.0,8.0,FWD,ARS,0.0,8.3,90.0,2.0,FWD,ARS,0.0,8.2,90.0,2.0,FWD,ARS,0.25,8.1,90.0,1.0,FWD,ARS,0.0,990,8.0,46,90.0,1.0
5,Hein,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,4.0,0.0,0.0,GKP,ARS,1.0,0,4.0,0,0.0,0.0
6,J.Timber,DEF,ARS,0.0,5.5,21.0,1.0,DEF,ARS,0.0,5.5,78.0,6.0,DEF,ARS,0.0,5.5,79.0,1.0,DEF,ARS,0.0,5.5,90.0,5.0,DEF,ARS,0.0,5.5,90.0,2.0,DEF,ARS,0.0,5.5,90.0,4.0,DEF,ARS,0.25,5.5,0.0,0.0,DEF,ARS,0.25,5.5,0.0,0.0,DEF,ARS,0.25,5.5,75.0,2.0,DEF,ARS,0.0,5.5,70.0,1.0,DEF,ARS,0.0,683,5.5,24,90.0,2.0
7,Jorginho,MID,ARS,0.0,5.0,0.0,0.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,90.0,2.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,0.0,0.0,MID,ARS,0.0,4.9,60.0,2.0,MID,ARS,0.0,4.8,0.0,0.0,MID,ARS,0.0,4.8,0.0,0.0,MID,ARS,0.0,4.8,4.0,0.0,MID,ARS,0.0,154,4.8,4,0.0,0.0
8,Kiwior,DEF,ARS,0.0,5.0,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,ARS,0.0,4.9,0.0,0.0,DEF,ARS,0.0,4.8,16.0,1.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,4.8,1.0,1.0,DEF,ARS,0.0,4.8,43.0,0.0,DEF,ARS,0.0,4.8,36.0,1.0,DEF,ARS,0.0,4.8,0.0,0.0,DEF,ARS,0.0,96,4.8,3,0.0,0.0
9,Martinelli,MID,ARS,0.0,7.0,90.0,3.0,MID,ARS,0.0,7.0,64.0,3.0,MID,ARS,0.0,6.9,16.0,1.0,MID,ARS,0.0,6.9,79.0,3.0,MID,ARS,0.0,6.9,86.0,5.0,MID,ARS,0.0,6.9,73.0,13.0,MID,ARS,0.0,7.0,30.0,6.0,MID,ARS,0.0,7.0,26.0,1.0,MID,ARS,0.0,7.0,84.0,2.0,MID,ARS,0.0,6.9,60.0,2.0,MID,ARS,0.0,678,6.9,47,70.0,8.0
10,R. Nelson,MID,ARS,0.0,5.0,0.0,0.0,MID,ARS,0.0,5.0,2.0,1.0,MID,FUL,0.0,5.0,0.0,0.0,MID,FUL,0.0,5.0,24.0,0.0,MID,FUL,0.0,5.0,16.0,7.0,MID,FUL,0.0,5.0,21.0,1.0,MID,FUL,0.0,5.0,13.0,4.0,MID,FUL,0.0,5.0,22.0,1.0,MID,FUL,0.0,5.0,22.0,1.0,MID,FUL,0.0,5.0,81.0,2.0,MID,FUL,0.0,282,5.0,20,81.0,3.0
11,Nketiah,FWD,ARS,0.0,6.0,0.0,0.0,FWD,ARS,0.0,5.9,0.0,0.0,FWD,CRY,0.0,5.9,0.0,0.0,FWD,CRY,0.0,5.9,90.0,2.0,FWD,CRY,0.0,5.9,65.0,2.0,FWD,CRY,0.0,5.9,72.0,2.0,FWD,CRY,0.0,5.9,90.0,1.0,FWD,CRY,0.0,5.9,65.0,2.0,FWD,CRY,0.0,5.9,23.0,1.0,FWD,CRY,1.0,5.9,83.0,2.0,FWD,CRY,1.0,488,5.9,12,0.0,0.0
12,Nwaneri,MID,ARS,0.0,4.5,0.0,0.0,MID,ARS,0.0,4.5,0.0,0.0,MID,ARS,0.0,4.5,0.0,0.0,MID,ARS,0.0,4.5,4.0,1.0,MID,ARS,0.0,4.5,0.0,0.0,MID,ARS,0.0,4.5,5.0,1.0,MID,ARS,0.0,4.5,0.0,0.0,MID,ARS,0.0,4.5,9.0,1.0,MID,ARS,0.0,4.5,5.0,1.0,MID,ARS,0.0,4.5,29.0,1.0,MID,ARS,0.0,52,4.5,5,0.0,0.0
13,Ødegaard,MID,ARS,0.0,8.5,90.0,3.0,MID,ARS,0.0,8.5,90.0,2.0,MID,ARS,0.0,8.4,73.0,2.0,MID,ARS,0.5,8.3,0.0,0.0,MID,ARS,1.0,8.2,0.0,0.0,MID,ARS,1.0,8.2,0.0,0.0,MID,ARS,1.0,8.2,0.0,0.0,MID,ARS,1.0,8.2,0.0,0.0,MID,ARS,1.0,8.2,0.0,0.0,MID,ARS,0.0,8.2,0.0,0.0,MID,ARS,0.0,343,8.2,14,90.0,7.0
14,Ramsdale,GKP,ARS,0.0,4.5,0.0,0.0,GKP,ARS,0.0,4.5,0.0,0.0,GKP,SOU,0.0,4.4,90.0,2.0,GKP,SOU,0.0,4.4,90.0,3.0,GKP,SOU,0.0,4.4,90.0,3.0,GKP,SOU,0.0,4.4,90.0,2.0,GKP,SOU,0.0,4.4,90.0,2.0,GKP,SOU,0.0,4.4,90.0,1.0,GKP,SOU,0.0,4.4,90.0,4.0,GKP,SOU,0.0,4.4,90.0,9.0,GKP,SOU,0.25,810,4.4,26,90.0,0.0
15,Raya,GKP,ARS,0.0,5.5,90.0,8.0,GKP,ARS,0.0,5.5,90.0,10.0,GKP,ARS,0.0,5.5,90.0,2.0,GKP,ARS,0.0,5.5,90.0,9.0,GKP,ARS,0.0,5.6,90.0,4.0,GKP,ARS,0.0,5.6,90.0,1.0,GKP,ARS,0.0,5.6,90.0,2.0,GKP,ARS,0.0,5.7,90.0,1.0,GKP,ARS,0.0,5.6,90.0,0.0,GKP,ARS,0.0,5.6,90.0,3.0,GKP,ARS,0.0,990,5.6,42,90.0,2.0
16,Rice,MID,ARS,0.0,6.5,84.0,3.0,MID,ARS,0.0,6.5,90.0,2.0,MID,ARS,1.0,6.4,48.0,-2.0,MID,ARS,0.0,6.3,0.0,0.0,MID,ARS,0.0,6.3,90.0,1.0,MID,ARS,0.0,6.3,90.0,2.0,MID,ARS,0.0,6.3,90.0,2.0,MID,ARS,0.0,6.3,90.0,2.0,MID,ARS,0.0,6.3,90.0,5.0,MID,ARS,0.25,6.3,90.0,2.0,MID,ARS,0.25,832,6.3,19,70.0,2.0
17,Saka,MID,ARS,0.0,10.0,79.0,12.0,MID,ARS,0.0,10.0,87.0,6.0,MID,ARS,0.0,10.1,90.0,6.0,MID,ARS,0.25,10.0,85.0,7.0,MID,ARS,0.0,10.0,45.0,4.0,MID,ARS,0.0,10.1,90.0,3.0,MID,ARS,0.0,10.1,90.0,16.0,MID,ARS,0.75,10.0,0.0,0.0,MID,ARS,0.0,10.0,84.0,9.0,MID,ARS,0.0,10.1,90.0,2.0,MID,ARS,0.25,820,10.1,67,80.0,2.0
18,Saliba,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.0,90.0,6.0,DEF,ARS,0.0,6.0,90.0,2.0,DEF,ARS,0.0,6.0,90.0,5.0,DEF,ARS,0.0,6.0,90.0,1.0,DEF,ARS,0.0,6.0,90.0,0.0,DEF,ARS,0.0,6.0,90.0,2.0,DEF,ARS,1.0,6.0,29.0,-3.0,DEF,ARS,0.0,6.0,0.0,0.0,DEF,ARS,0.0,6.0,90.0,2.0,DEF,ARS,0.0,839,6.0,23,90.0,2.0
