name,position,cost,xmins,ep_gw20,ep_gw21,ep_gw22
M.Salah,MID,13.6,89,7.9,6.6,6.9
Haaland,FWD,14.8,90,7.4,6.1,6.4
Palmer,MID,11.4,90,5.6,6.1,6.6
Isak,FWD,9.2,89,5.3,6.0,5.7
Ødegaard,MID,8.4,86,5.1,5.9,5.6
B.Fernandes,MID,8.3,87,3.5,6.1,5.1
Mbeumo,MID,7.7,88,5.7,4.4,4.0
De Bruyne,MID,9.4,73,5.0,4.2,4.7
Gordon,MID,7.4,80,4.0,5.2,4.4
Eze,MID,6.6,87,4.6,4.7,4.2
Foden,MID,9.2,71,4.8,4.1,4.5
Alexander-Arnold,DEF,7.2,85,5.2,3.9,4.3
N.Jackson,FWD,8.2,78,4.1,4.2,4.5
João Pedro,FWD,5.7,85,3.9,4.7,4.0
C. Wood,FWD,6.8,79,4.2,3.4,4.9
Martinelli,MID,6.8,71,4.2,4.0,4.2
Watkins,FWD,8.9,86,6.3,3.2,2.7
G.Jesus,FWD,6.9,72,4.1,3.8,4.1
Luis Díaz,MID,7.6,64,4.4,3.6,3.9
Iwobi,MID,5.9,87,4.6,3.4,3.8
Son,MID,9.9,70,4.0,3.5,4.3
Solanke,FWD,7.5,87,4.4,3.3,4.0
Vardy,FWD,5.5,80,3.5,4.1,3.9
Havertz,FWD,7.9,72,3.1,4.1,4.3
Raya,GKP,5.6,93,3.8,3.9,3.8
Raúl,FWD,5.6,62,4.2,3.6,3.6
Gvardiol,DEF,6.0,92,4.6,3.3,3.6
Gabriel,DEF,6.4,91,3.6,3.9,3.9
Füllkrug,FWD,6.7,76,3.3,4.2,3.9
Mateta,FWD,7.2,74,3.9,4.2,3.3
Gibbs-White,MID,6.4,71,3.6,3.1,4.6
A.Becker,GKP,5.4,89,3.9,3.8,3.6
Virgil,DEF,6.5,90,4.1,3.4,3.6
Trossard,MID,6.8,66,4.0,3.4,3.6
I.Sarr,MID,5.9,83,3.8,3.6,3.5
Robertson,DEF,5.9,73,4.1,3.4,3.5
Semenyo,MID,5.6,87,4.5,3.2,3.2
Leno,GKP,5.0,93,3.9,3.5,3.5
Sánchez,GKP,4.8,93,3.5,3.6,3.7
Kudus,MID,6.2,85,3.0,4.0,3.8
Saliba,DEF,6.3,89,3.4,3.6,3.6
Højlund,FWD,6.9,67,2.6,4.2,3.7
Sels,GKP,4.9,95,3.5,3.1,3.9
Mitoma,MID,6.4,82,3.2,3.9,3.3
Bernardo,MID,6.3,68,3.6,3.1,3.6
Kluivert,MID,5.5,73,4.5,3.0,2.9
Andreas,MID,5.0,69,4.1,3.1,3.2
E. Martinez,GKP,5.0,94,3.9,3.4,3.0
Andre Onana,GKP,5.1,92,3.0,3.9,3.4
McGinn,MID,5.2,86,4.3,3.3,2.5
Wissa,FWD,6.2,77,4.2,3.0,2.9
Diogo J.,MID,7.2,42,3.3,3.2,3.6
Enzo,MID,5.1,88,3.1,3.3,3.6
Hudson-Odoi,MID,5.3,90,3.1,2.9,4.0
Henderson,GKP,4.5,91,3.2,3.6,3.3
Hall,DEF,4.8,91,2.8,3.9,3.4
Evanilson,FWD,5.9,70,4.0,3.1,2.9
Amad,MID,5.3,72,2.6,4.0,3.4
Delap,FWD,5.6,83,3.4,3.7,2.8
Joelinton,MID,6.0,87,3.1,3.5,3.3
Aké,DEF,5.3,86,4.0,3.1,2.9
Akanji,DEF,5.3,88,3.8,3.0,3.1
Verbruggen,GKP,4.5,94,3.1,3.5,3.3
Flekken,GKP,4.4,94,3.7,3.2,2.9
Castagne,DEF,4.2,84,4.0,2.6,3.2
Robinson,DEF,5.0,90,4.1,2.5,3.1
Sancho,MID,6.2,63,3.0,3.1,3.6
Forster,GKP,4.3,91,3.3,3.0,3.4
Cucurella,DEF,5.2,85,2.9,3.2,3.6
Bruno G.,MID,6.1,88,3.0,3.5,3.1
José Sá,GKP,4.3,93,3.4,3.1,3.1
Ramsdale,GKP,4.4,94,3.3,3.2,3.1
Tielemans,MID,5.5,77,3.9,3.1,2.5
J.Murphy,MID,5.1,65,3.1,3.6,2.8
L.Paquetá,MID,5.7,69,2.6,3.3,3.5
Smith Rowe,MID,5.3,64,3.5,2.7,3.2
Rice,MID,6.2,83,3.1,3.2,3.1
Pickford,GKP,5.0,92,3.2,2.8,3.3
Andersen,DEF,4.2,90,3.8,2.5,2.9
Mac Allister,MID,6.2,73,3.3,3.0,3.0
Szoboszlai,MID,6.3,57,3.3,3.0,2.9
Calvert-Lewin,FWD,5.4,54,2.9,3.1,3.2
H. Wilson,MID,5.2,56,3.6,2.7,2.9
Strand Larsen,FWD,5.5,73,3.7,2.7,2.8
Elanga,MID,5.2,56,2.9,2.5,3.7
Madueke,MID,6.2,45,2.4,3.3,3.5
Colwill,DEF,4.6,93,2.8,3.1,3.2
Ndiaye,FWD,5.4,79,2.9,3.2,3.0
Hutchinson,MID,5.2,86,3.0,3.3,2.7
Kulusevski,MID,6.5,74,3.2,2.6,3.2
P. Neto,MID,6.2,58,2.8,3.0,3.2
Bailey,MID,6.2,65,4.3,2.6,2.0
A.Doucoure,MID,5.1,86,2.9,3.1,2.8
Muñoz,DEF,4.7,90,2.8,3.3,2.7
Aina,DEF,5.2,91,3.1,1.9,3.8
Brennan Johnson,MID,6.5,51,2.7,2.6,3.5
Gravenberch,MID,5.0,84,3.2,2.5,2.8
Calafiori,DEF,5.8,45,2.1,3.2,3.1
N.Williams,DEF,4.3,84,2.9,1.7,3.8
Bassey,DEF,4.5,91,3.6,2.4,2.5
Cash,DEF,4.4,82,4.0,2.9,1.5
Summerville,MID,5.6,56,2.2,3.0,3.2
Milenković,DEF,4.7,89,2.8,1.7,3.8
A. Armstrong,FWD,5.1,59,3.2,2.7,2.4
J.Ayew,MID,5.2,60,2.4,3.0,2.9
Tonali,MID,5.5,75,2.5,3.0,2.7
Gakpo,FWD,7.3,39,2.7,2.7,2.8
O.Dango,MID,5.0,65,3.6,2.3,2.3
Maddison,MID,7.7,66,3.3,2.2,2.6
Mazraoui,DEF,4.5,77,1.3,3.9,2.9
Digne,DEF,4.6,68,3.7,2.9,1.5
Szmodics,MID,5.8,67,2.8,2.8,2.4
Pedro Porro,DEF,5.5,79,2.9,1.7,3.3
Schade,MID,5.1,60,3.4,2.4,2.1
Stolarczyk,GKP,4.0,94,3.1,2.5,2.4
Mitchell,DEF,4.8,85,2.5,3.1,2.4
Souček,MID,4.9,89,2.3,2.7,2.8
Konsa,DEF,4.4,92,3.8,2.7,1.4
Dalot,DEF,5.0,81,1.2,3.8,2.9
Anderson,MID,5.0,73,2.7,2.3,2.9
Tosin,DEF,4.2,87,2.8,2.8,2.3
Onuachu,FWD,4.9,60,3.1,2.4,2.3
Gündogan,MID,6.4,52,2.6,2.4,2.8
