col1,col2,col3,col4,col5,col6,col7,col8
Haaland,,,,,,,
FW 15.4,,,,,,,
91,7.2,6.5,6.8,20.4,0.44,92.10%,Submit
,,,,,,,
M.Salah,,,,,,,
MD 12.7,,,,,,,
90,7,6.2,6.5,19.8,0.52,10.30%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.3,,,,,,,
80,6.1,5.7,5.7,17.5,0.63,20.20%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.0,,,,,,,
86,5.3,4.8,6.6,16.8,0.56,17.10%,Submit
,,,,,,,
Palmer,,,,,,,
MD 11.0,,,,,,,
90,5.4,5,5.6,16,0.48,68.50%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.2,,,,,,,
88,4.6,5.2,4.7,14.5,0.59,33.70%,Submit
,,,,,,,
Isak,,,,,,,
FW 8.3,,,,,,,
90,4.5,4.6,5,14.1,0.57,0.40%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.7,,,,,,,
86,4.6,5.3,4.1,14,0.61,99.50%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.4,,,,,,,
86,4.5,5.3,3.8,13.6,0.61,4.10%,Submit
,,,,,,,
Alexander-Arnold,,,,,,,
DF 7.0,,,,,,,
82,4.7,4,4.9,13.6,0.65,41.30%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.7,,,,,,,
82,4.6,5.4,3,13,0.56,78.50%,Submit
,,,,,,,
Eze,,,,,,,
MD 6.7,,,,,,,
88,3.9,5.1,4,13,0.65,36.50%,Submit
,,,,,,,
Watkins,,,,,,,
FW 9.1,,,,,,,
82,4.2,3.6,5.1,13,0.48,4.20%,Submit
,,,,,,,
Calvert-Lewin,,,,,,,
FW 6.0,,,,,,,
79,4.6,3.7,4.4,12.7,0.71,58.20%,Submit
,,,,,,,
Havertz,,,,,,,
FW 8.2,,,,,,,
87,4.2,3.9,4.6,12.6,0.51,5.20%,Submit
,,,,,,,
Rashford,,,,,,,
MD 6.9,,,,,,,
