name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
M.Salah,MID,14.5,88,7.3,5.9,5.7,6.7,6.8
Palmer,MID,10.5,90,6.1,5.5,5.9,5.1,4.9
Haaland,FWD,14.0,85,5.8,6.4,5.1,5.7,4.1
Saka,MID,10.0,88,5.3,6.5,3.8,5.5,4.5
B.Fernandes,MID,9.0,90,4.6,4.8,6.0,3.9,4.7
Eze,MID,7.5,88,4.1,5.0,4.1,6.3,4.5
Marmoush,MID,8.5,73,5.0,5.1,4.5,5.1,3.4
Watkins,FWD,9.0,86,4.8,4.2,4.6,4.1,5.2
Mateta,FWD,7.5,86,3.9,4.9,4.0,5.7,4.4
Wirtz,MID,8.5,82,5.0,4.1,4.1,4.5,5.0
Evanilson,FWD,7.0,90,3.8,5.0,4.1,4.4,4.2
Semenyo,MID,7.0,90,3.6,5.2,4.1,4.4,4.0
Gyökeres,FWD,9.0,66,4.1,4.7,3.4,4.8,4.1
Bowen,FWD,8.0,88,4.9,4.0,3.8,4.3,4.1
Sarr,MID,6.5,81,3.6,4.5,3.6,5.3,3.9
Gakpo,MID,7.5,67,4.4,3.5,3.5,4.6,4.4
L.Paquetá,MID,6.0,79,4.5,3.8,3.8,4.1,3.8
Georginio,MID,6.0,76,4.8,4.1,3.6,3.6,4.2
Strand Larsen,FWD,6.5,82,3.8,3.9,4.3,3.6,4.5
Ekitiké,FWD,8.5,69,4.7,3.8,3.5,3.8,4.1
Virgil,DEF,6.0,91,4.4,3.6,3.5,4.2,4.2
Ødegaard,MID,8.0,82,4.0,4.7,3.3,4.2,3.7
Tielemans,MID,6.0,87,4.1,3.7,4.1,3.7,4.2
Enzo,MID,6.5,90,4.2,3.9,4.2,3.7,3.7
Mitoma,MID,6.5,84,4.5,4.0,3.5,3.6,4.0
Mac Allister,MID,6.5,79,4.2,3.7,3.5,4.0,4.0
Murillo,DEF,5.5,87,4.2,3.6,4.3,3.0,4.2
Rogers,MID,7.0,78,3.3,3.8,4.1,3.7,4.3
Wood,FWD,7.5,83,4.4,3.6,4.2,3.0,3.9
Damsgaard,MID,6.0,86,3.9,3.8,4.3,3.6,3.4
Rice,MID,6.5,82,3.8,4.5,3.2,3.9,3.4
Ndiaye,MID,6.5,78,4.2,4.1,3.8,3.8,2.9
Tavernier,MID,5.5,82,3.3,4.4,3.5,3.8,3.8
Gordon,MID,7.5,72,3.6,3.8,4.5,3.7,3.1
Frimpong,DEF,6.0,79,4.4,3.0,3.2,4.1,4.1
J.Arias,MID,5.5,76,3.5,3.6,4.1,3.2,4.3
Muñoz,DEF,5.5,89,2.8,4.3,2.9,5.4,3.3
Joelinton,MID,6.0,85,3.7,3.6,4.0,4.1,3.3
Schade,MID,7.0,78,3.1,4.1,4.2,3.6,3.6
Gibbs-White,MID,7.5,84,4.3,3.4,4.1,2.9,3.8
E. Anderson,MID,5.5,82,4.2,3.7,4.0,3.1,3.5
Iwobi,MID,6.5,84,3.5,3.9,3.0,3.9,3.8
Thiago,FWD,6.0,77,3.9,4.0,4.5,3.1,2.5
Solanke,FWD,7.5,45,3.1,2.7,4.3,4.1,3.7
A.Becker,GKP,5.5,93,3.9,3.4,3.4,3.6,3.7
Lacroix,DEF,5.0,90,3.0,4.0,3.1,4.6,3.4
Raya,GKP,5.5,93,3.7,4.1,3.0,3.8,3.3
Bruno G.,MID,6.5,91,3.6,3.5,3.7,3.7,3.5
Malen,MID,5.5,67,3.7,3.5,3.6,3.1,3.9
Raúl,FWD,6.5,79,3.7,4.1,2.9,3.6,3.4
Sánchez,GKP,5.0,93,3.7,3.5,3.8,3.4,3.3
Cucurella,DEF,6.0,89,3.9,3.5,4.0,3.2,3.1
Konaté,DEF,5.5,87,4.1,3.1,3.2,3.7,3.7
Andersen,DEF,4.5,93,3.4,3.9,2.8,4.0,3.7
N.Williams,DEF,5.0,87,4.0,3.3,4.1,2.5,3.8
Kudus,MID,6.5,72,4.4,2.8,3.9,3.3,3.2
João Pedro,FWD,7.5,69,4.0,3.6,3.6,3.2,3.1
Milenković,DEF,5.5,88,3.8,3.3,3.9,2.7,3.7
P. Neto,MID,7.0,74,4.1,3.6,3.3,3.1,3.2
Ederson M.,GKP,5.5,94,3.9,3.7,3.3,3.6,2.9
Cunha,MID,8.0,73,3.3,3.5,4.2,2.8,3.5
