name,position,cost,xmins_gw4,xmins_gw5,xmins_gw6,xmins_gw7,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7
M.Salah,MID,14.5,89,85,83,82,7.1,7.1,5.6,5.0
Haaland,FWD,14.1,90,85,79,78,6.6,4.4,6.9,5.5
B.Fernandes,MID,9.0,91,88,88,84,4.5,5.2,5.3,6.6
Gyökeres,FWD,9.0,83,82,79,79,5.9,5.0,4.5,6.1
Watkins,FWD,8.9,86,82,78,79,4.3,5.0,4.7,5.4
Mateta,FWD,7.5,88,80,71,70,6.4,4.6,3.6,3.7
Mbeumo,MID,8.1,88,84,82,82,3.8,4.2,4.3,5.6
Virgil,DEF,6.0,89,87,88,84,4.8,4.7,4.2,3.5
Wirtz,MID,8.4,79,72,72,65,5.1,4.7,3.9,3.3
Rogers,MID,7.0,90,87,83,82,3.7,4.4,4.2,4.6
Ødegaard,MID,7.9,82,73,72,70,4.9,3.8,3.5,4.4
Semenyo,MID,7.4,85,83,82,79,4.3,4.1,4.0,4.2
Gakpo,MID,7.7,73,74,67,63,4.8,4.9,3.8,3.2
Evanilson,FWD,7.0,82,80,79,77,4.2,4.0,3.9,4.2
Rice,MID,6.5,86,86,77,77,4.5,3.9,3.5,4.2
Muñoz,DEF,5.6,90,87,85,86,5.7,3.9,2.7,3.6
Palmer,MID,10.4,29,70,81,78,1.9,4.0,5.6,4.4
João Pedro,FWD,7.7,68,77,73,72,3.9,3.9,4.2,3.6
Gabriel,DEF,6.1,89,88,85,84,4.4,3.6,3.3,4.4
Šeško,FWD,7.4,74,81,78,76,3.2,3.8,3.8,4.7
Raya,GKP,5.5,92,92,92,90,4.1,3.7,3.6,4.0
Xavi,MID,7.0,58,81,79,73,3.1,3.8,4.8,3.7
Thiago,FWD,6.0,81,82,80,75,3.9,3.9,4.1,3.5
Reijnders,MID,5.7,80,78,72,73,4.2,3.1,4.4,3.7
Wood,FWD,7.7,80,79,73,73,3.2,4.2,4.7,3.3
Mitoma,MID,6.4,84,82,79,79,3.8,4.2,3.2,3.9
Lacroix,DEF,5.0,87,88,88,87,4.9,3.8,2.9,3.7
Kluivert,MID,7.0,67,68,65,63,3.9,3.8,3.6,3.9
Tielemans,MID,5.9,89,87,79,77,3.6,4.1,3.6,3.8
Bowen,FWD,7.8,91,88,89,84,4.3,4.1,3.7,3.0
Kudus,MID,6.6,79,76,69,72,4.0,3.5,4.1,3.5
Rodrigo,MID,6.4,87,88,86,86,3.9,3.3,4.1,3.8
Georginio,MID,5.9,75,72,72,68,3.8,4.2,3.2,3.8
E. Martinez,GKP,5.0,92,93,92,94,3.4,3.9,3.7,4.0
O.Dango,MID,6.0,81,81,76,75,3.8,3.8,3.9,3.5
Tarkowski,DEF,5.5,91,92,90,86,4.0,2.7,4.4,3.8
Ndiaye,MID,6.5,48,74,73,72,2.8,3.2,4.7,4.2
P. Neto,MID,7.0,80,73,68,64,4.3,3.6,3.9,3.1
Bruno G.,MID,6.5,89,87,85,80,4.4,3.6,3.2,3.6
Damsgaard,MID,5.9,85,83,79,80,3.8,3.7,3.8,3.5
Cash,DEF,4.5,82,79,73,75,3.2,4.0,3.4,4.1
Senesi,DEF,4.6,90,88,83,85,3.8,3.6,3.5,3.9
Murillo,DEF,5.5,90,87,85,81,2.8,4.1,4.9,3.0
A.Becker,GKP,5.5,93,90,86,83,4.1,4.0,3.5,3.1
Yeremy,MID,6.0,66,80,76,71,4.2,3.9,3.3,3.3
Enzo,MID,6.6,89,87,86,84,4.0,3.5,3.9,3.2
Calafiori,DEF,5.7,74,65,58,54,4.7,3.4,2.9,3.6
E. Anderson,MID,5.5,82,83,76,75,3.3,4.0,4.2,3.2
Richards,DEF,4.5,90,86,82,82,4.9,3.6,2.7,3.4
Konaté,DEF,5.5,85,82,78,81,4.2,4.0,3.3,3.0
Minteh,MID,5.9,77,76,69,72,3.7,4.0,3.0,3.8
Konsa,DEF,4.5,88,88,88,88,3.0,3.9,3.5,4.0
Andersen,DEF,4.5,91,91,88,87,4.1,3.9,3.1,3.2
Stach,MID,5.0,89,84,81,84,3.6,3.6,3.6,3.6
Schade,MID,7.0,77,73,71,70,3.7,3.5,3.7,3.4
Joelinton,MID,5.9,72,79,80,78,3.9,3.5,3.2,3.7
L.Paquetá,MID,5.9,86,80,77,78,4.1,3.8,3.4,2.9
Guéhi,DEF,4.6,93,89,88,87,4.8,3.5,2.6,3.3
Vicario,GKP,5.0,94,93,92,92,3.6,3.2,3.9,3.4
Tonali,MID,5.4,87,86,84,85,4.0,3.4,3.0,3.6
J.Timber,DEF,5.7,77,70,64,63,4.3,3.2,2.8,3.7
D. Henderson,GKP,5.0,93,91,93,91,4.2,3.4,3.0,3.4
Iwobi,MID,6.5,82,77,72,73,4.0,3.8,3.0,3.2
Petrović,GKP,4.5,93,92,93,89,3.5,3.4,3.5,3.5
Woltemade,FWD,7.0,77,69,56,54,4.8,3.5,2.6,3.0
Pedro Porro,DEF,5.6,81,73,74,69,3.7,2.8,4.2,3.1
Ekitiké,FWD,8.8,72,60,50,39,4.6,4.0,2.9,2.2
Pickford,GKP,5.5,93,93,92,92,3.6,2.8,3.8,3.6
J.Arias,MID,5.3,73,73,70,71,3.2,4.0,3.1,3.5
Eze,MID,7.5,67,56,50,54,4.2,3.2,2.7,3.7
Sánchez,GKP,5.0,94,92,92,89,3.7,3.3,3.7,3.0
Grealish,MID,6.8,81,81,78,75,3.7,2.7,3.9,3.4
Gibbs-White,MID,7.5,77,76,70,74,2.8,3.7,4.2,3.0
Sels,GKP,5.0,93,93,92,92,2.8,3.6,4.1,3.1
Pope,GKP,5.0,92,90,88,85,4.0,3.2,2.9,3.5
Dewsbury-Hall,MID,5.0,82,80,78,75,3.7,2.8,3.9,3.3
Mitchell,DEF,5.0,80,81,81,77,4.7,3.4,2.5,3.1
Leno,GKP,5.0,93,93,91,89,3.8,3.7,3.1,3.0
Milenković,DEF,5.5,88,88,82,83,2.5,3.9,4.4,2.8
Romero,DEF,5.0,91,86,87,85,3.4,2.9,4.0,3.2
Cucurella,DEF,6.1,91,85,82,78,3.9,3.2,3.7,2.6
Caicedo,MID,5.5,77,89,88,85,3.2,3.4,3.6,3.1
Foden,MID,8.0,53,52,49,51,3.5,2.6,3.9,3.3
Mac Allister,MID,6.4,49,77,71,73,2.6,4.1,3.4,3.2
Lukić,MID,5.0,87,84,84,81,3.6,3.6,3.0,3.0
Diakité,DEF,4.5,92,86,85,83,3.4,3.1,3.2,3.4
Tavernier,MID,5.5,62,62,63,59,3.3,3.2,3.2,3.3
Donnarumma,GKP,5.5,64,92,92,91,2.5,2.9,4.1,3.6
