col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
M.Salah,,,,,,,,,
MD 14.5,,,,,,,,,
88,7.3,5.9,5.7,6.7,6.8,32.4,0.45,53.60%,Submit
,,,,,,,,,
Palmer,,,,,,,,,
MD 10.5,,,,,,,,,
90,6.1,5.5,5.9,5.1,4.9,27.5,0.52,61.40%,Submit
,,,,,,,,,
Haaland,,,,,,,,,
FW 14.0,,,,,,,,,
85,5.8,6.4,5.1,5.7,4.1,27.2,0.39,23.30%,Submit
,,,,,,,,,
Saka,,,,,,,,,
MD 10.0,,,,,,,,,
88,5.3,6.5,3.8,5.5,4.5,25.7,0.51,17.30%,Submit
,,,,,,,,,
B.Fernandes,,,,,,,,,
MD 9.0,,,,,,,,,
90,4.6,4.8,6,3.9,4.7,24,0.53,21.00%,Submit
,,,,,,,,,
Eze,,,,,,,,,
MD 7.5,,,,,,,,,
88,4.1,5,4.1,6.3,4.5,23.9,0.64,10.40%,Submit
,,,,,,,,,
Marmoush,,,,,,,,,
MD 8.5,,,,,,,,,
73,5,5.1,4.5,5.1,3.4,23.1,0.54,12.20%,Submit
,,,,,,,,,
Watkins,,,,,,,,,
FW 9.0,,,,,,,,,
86,4.8,4.2,4.6,4.1,5.2,22.9,0.51,25.00%,Submit
,,,,,,,,,
Mateta,,,,,,,,,
FW 7.5,,,,,,,,,
86,3.9,4.9,4,5.7,4.4,22.9,0.61,9.10%,Submit
,,,,,,,,,
Wirtz,,,,,,,,,
MD 8.5,,,,,,,,,
82,5,4.1,4.1,4.5,5,22.9,0.54,34.90%,Submit
,,,,,,,,,
Evanilson,,,,,,,,,
FW 7.0,,,,,,,,,
90,3.8,5,4.1,4.4,4.2,21.5,0.61,2.10%,Submit
,,,,,,,,,
Semenyo,,,,,,,,,
MD 7.0,,,,,,,,,
90,3.6,5.2,4.1,4.4,4,21.2,0.61,5.20%,Submit
,,,,,,,,,
Gy�keres,,,,,,,,,
FW 9.0,,,,,,,,,
66,4.1,4.7,3.4,4.8,4.1,21.1,0.47,26.00%,Submit
,,,,,,,,,
Bowen,,,,,,,,,
FW 8.0,,,,,,,,,
88,4.9,4,3.8,4.3,4.1,21,0.52,18.50%,Submit
,,,,,,,,,
Sarr,,,,,,,,,
MD 6.5,,,,,,,,,
81,3.6,4.5,3.6,5.3,3.9,21,0.65,5.40%,Submit
,,,,,,,,,
Gakpo,,,,,,,,,
MD 7.5,,,,,,,,,
67,4.4,3.5,3.5,4.6,4.4,20.4,0.55,6.80%,Submit
,,,,,,,,,
L.Paquet�,,,,,,,,,
MD 6.0,,,,,,,,,
79,4.5,3.8,3.8,4.1,3.8,20.2,0.67,1.20%,Submit
,,,,,,,,,
Georginio,,,,,,,,,
MD 6.0,,,,,,,,,
76,4.8,4.1,3.6,3.6,4.2,20.1,0.67,1.10%,Submit
,,,,,,,,,
Strand Larsen,,,,,,,,,
FW 6.5,,,,,,,,,
82,3.8,3.9,4.3,3.6,4.5,20.1,0.62,5.10%,Submit
,,,,,,,,,
Ekitik�,,,,,,,,,
FW 8.5,,,,,,,,,
69,4.7,3.8,3.5,3.8,4.1,20,0.47,13.40%,Submit
,,,,,,,,,
Virgil,,,,,,,,,
DF 6.0,,,,,,,,,
91,4.4,3.6,3.5,4.2,4.2,19.9,0.66,23.50%,Submit
,,,,,,,,,
�degaard,,,,,,,,,
MD 8.0,,,,,,,,,
82,4,4.7,3.3,4.2,3.7,19.9,0.5,3.30%,Submit
,,,,,,,,,
Tielemans,,,,,,,,,
MD 6.0,,,,,,,,,
87,4.1,3.7,4.1,3.7,4.2,19.8,0.66,2.20%,Submit
,,,,,,,,,
Enzo,,,,,,,,,
MD 6.5,,,,,,,,,
90,4.2,3.9,4.2,3.7,3.7,19.7,0.6,3.60%,Submit
,,,,,,,,,
Mitoma,,,,,,,,,
MD 6.5,,,,,,,,,
84,4.5,4,3.5,3.6,4,19.6,0.6,7.10%,Submit
,,,,,,,,,
Mac Allister,,,,,,,,,
MD 6.5,,,,,,,,,
79,4.2,3.7,3.5,4,4,19.5,0.6,1.60%,Submit
,,,,,,,,,
Murillo,,,,,,,,,
DF 5.5,,,,,,,,,
87,4.2,3.6,4.3,3,4.2,19.3,0.7,6.30%,Submit
,,,,,,,,,
Rogers,,,,,,,,,
MD 7.0,,,,,,,,,
78,3.3,3.8,4.1,3.7,4.3,19.1,0.55,10.20%,Submit
,,,,,,,,,
Wood,,,,,,,,,
FW 7.5,,,,,,,,,
83,4.4,3.6,4.2,3,3.9,19.1,0.51,13.70%,Submit
,,,,,,,,,
Damsgaard,,,,,,,,,
MD 6.0,,,,,,,,,
86,3.9,3.8,4.3,3.6,3.4,19,0.63,1.20%,Submit
,,,,,,,,,
Rice,,,,,,,,,
MD 6.5,,,,,,,,,
82,3.8,4.5,3.2,3.9,3.4,18.9,0.58,7.60%,Submit
,,,,,,,,,
Ndiaye,,,,,,,,,
MD 6.5,,,,,,,,,
78,4.2,4.1,3.8,3.8,2.9,18.9,0.58,13.00%,Submit
,,,,,,,,,
Tavernier,,,,,,,,,
MD 5.5,,,,,,,,,
82,3.3,4.4,3.5,3.8,3.8,18.8,0.68,0.30%,Submit
,,,,,,,,,
Gordon,,,,,,,,,
MD 7.5,,,,,,,,,
72,3.6,3.8,4.5,3.7,3.1,18.7,0.5,1.40%,Submit
,,,,,,,,,
Frimpong,,,,,,,,,
DF 6.0,,,,,,,,,
79,4.4,3,3.2,4.1,4.1,18.7,0.62,30.70%,Submit
,,,,,,,,,
J.Arias,,,,,,,,,
MD 5.5,,,,,,,,,
76,3.5,3.6,4.1,3.2,4.3,18.7,0.68,0.90%,Submit
,,,,,,,,,
Mu�oz,,,,,,,,,
DF 5.5,,,,,,,,,
89,2.8,4.3,2.9,5.4,3.3,18.7,0.68,8.90%,Submit
,,,,,,,,,
Joelinton,,,,,,,,,
MD 6.0,,,,,,,,,
85,3.7,3.6,4,4.1,3.3,18.6,0.62,0.50%,Submit
,,,,,,,,,
Schade,,,,,,,,,
MD 7.0,,,,,,,,,
78,3.1,4.1,4.2,3.6,3.6,18.6,0.53,0.60%,Submit
,,,,,,,,,
Gibbs-White,,,,,,,,,
MD 7.5,,,,,,,,,
84,4.3,3.4,4.1,2.9,3.8,18.5,0.49,5.30%,Submit
,,,,,,,,,
Anderson,,,,,,,,,
MD 5.5,,,,,,,,,
82,4.2,3.7,4,3.1,3.5,18.4,0.67,7.10%,Submit
,,,,,,,,,
Iwobi,,,,,,,,,
MD 6.5,,,,,,,,,
84,3.5,3.9,3,3.9,3.8,18.1,0.56,1.70%,Submit
,,,,,,,,,
Thiago,,,,,,,,,
FW 6.0,,,,,,,,,
77,3.9,4,4.5,3.1,2.5,18.1,0.6,0.90%,Submit
,,,,,,,,,
Solanke,,,,,,,,,
FW 7.5,,,,,,,,,
45,3.1,2.7,4.3,4.1,3.7,18.1,0.48,5.50%,Submit
,,,,,,,,,
A.Becker,,,,,,,,,
GK 5.5,,,,,,,,,
93,3.9,3.4,3.4,3.6,3.7,18,0.65,11.20%,Submit
,,,,,,,,,
Lacroix,,,,,,,,,
DF 5.0,,,,,,,,,
90,3,4,3.1,4.6,3.4,18,0.72,1.10%,Submit
,,,,,,,,,
Raya,,,,,,,,,
GK 5.5,,,,,,,,,
93,3.7,4.1,3,3.8,3.3,18,0.65,16.80%,Submit
,,,,,,,,,
Bruno G.,,,,,,,,,
MD 6.5,,,,,,,,,
91,3.6,3.5,3.7,3.7,3.5,17.9,0.55,1.70%,Submit
,,,,,,,,,
Malen,,,,,,,,,
MD 5.5,,,,,,,,,
67,3.7,3.5,3.6,3.1,3.9,17.9,0.65,2.40%,Submit
,,,,,,,,,
Ra�l,,,,,,,,,
FW 6.5,,,,,,,,,
79,3.7,4.1,2.9,3.6,3.4,17.7,0.55,2.30%,Submit
,,,,,,,,,
S�nchez,,,,,,,,,
GK 5.0,,,,,,,,,
93,3.7,3.5,3.8,3.4,3.3,17.7,0.71,22.90%,Submit
,,,,,,,,,
Cucurella,,,,,,,,,
DF 6.0,,,,,,,,,
89,3.9,3.5,4,3.2,3.1,17.7,0.59,18.80%,Submit
,,,,,,,,,
Konat�,,,,,,,,,
DF 5.5,,,,,,,,,
87,4.1,3.1,3.2,3.7,3.7,17.7,0.64,2.90%,Submit
,,,,,,,,,
Andersen,,,,,,,,,
DF 4.5,,,,,,,,,
93,3.4,3.9,2.8,4,3.7,17.7,0.79,2.40%,Submit
,,,,,,,,,
N.Williams,,,,,,,,,
DF 5.0,,,,,,,,,
87,4,3.3,4.1,2.5,3.8,17.6,0.7,9.50%,Submit
,,,,,,,,,
Kudus,,,,,,,,,
MD 6.5,,,,,,,,,
72,4.4,2.8,3.9,3.3,3.2,17.5,0.54,24.70%,Submit
,,,,,,,,,
Jo�o Pedro,,,,,,,,,
FW 7.5,,,,,,,,,
69,4,3.6,3.6,3.2,3.1,17.5,0.47,55.80%,Submit
,,,,,,,,,
Milenkovi?,,,,,,,,,
DF 5.5,,,,,,,,,
88,3.8,3.3,3.9,2.7,3.7,17.4,0.63,10.20%,Submit
,,,,,,,,,
Neto,,,,,,,,,
MD 7.0,,,,,,,,,
74,4.1,3.6,3.3,3.1,3.2,17.3,0.49,4.00%,Submit
,,,,,,,,,
Ederson M.,,,,,,,,,
GK 5.5,,,,,,,,,
94,3.9,3.7,3.3,3.6,2.9,17.3,0.63,3.40%,Submit
,,,,,,,,,
Cunha,,,,,,,,,
MD 8.0,,,,,,,,,
73,3.3,3.5,4.2,2.8,3.5,17.2,0.43,8.50%,Submit
,,,,,,,,,
F�llkrug,,,,,,,,,
FW 6.0,,,,,,,,,
75,4.1,3.3,3.1,3.4,3.2,17.2,0.57,3.50%,Submit
,,,,,,,,,
Caicedo,,,,,,,,,
MD 5.5,,,,,,,,,
90,3.7,3.5,3.5,3.3,3.2,17.1,0.62,5.80%,Submit
,,,,,,,,,
Saliba,,,,,,,,,
DF 6.0,,,,,,,,,
89,3.6,4.2,2.4,3.9,2.9,17,0.57,13.30%,Submit
,,,,,,,,,
Sch�r,,,,,,,,,
DF 5.5,,,,,,,,,
87,3.4,2.9,3.7,3.8,3.1,16.9,0.61,2.50%,Submit
,,,,,,,,,
Sels,,,,,,,,,
GK 5.0,,,,,,,,,
93,3.6,3.3,3.6,2.8,3.6,16.9,0.67,20.90%,Submit
,,,,,,,,,
Pedro Porro,,,,,,,,,
DF 5.5,,,,,,,,,
85,4.9,2.3,3.7,3.2,2.8,16.9,0.61,18.40%,Submit
,,,,,,,,,
Gu�hi,,,,,,,,,
DF 4.5,,,,,,,,,
93,2.6,3.7,2.8,4.5,3.1,16.7,0.74,13.10%,Submit
,,,,,,,,,
Richards,,,,,,,,,
DF 4.5,,,,,,,,,
