col1,col2,col3,col4,col5,col6,col7,col8,col9
M.Salah,,,,,,,,
MD 14.4,,,,,,,,
87,6.6,5.8,6,4.4,87,86,81,80
,,,,,,,,
Haaland,,,,,,,,
FW 14.6,,,,,,,,
86,6.4,5.1,5.7,4.9,86,83,80,78
,,,,,,,,
Saka,,,,,,,,
MD 9.9,,,,,,,,
84,5.5,5.7,5.4,5.5,84,82,75,76
,,,,,,,,
Gy�keres,,,,,,,,
FW 9.1,,,,,,,,
82,5,5.2,4.9,4.6,82,80,72,65
,,,,,,,,
Jo�o Pedro,,,,,,,,
FW 7.6,,,,,,,,
84,4.6,5.4,4,4.8,84,82,80,74
,,,,,,,,
B.Fernandes,,,,,,,,
MD 9.0,,,,,,,,
87,4,5.2,5,4.3,87,86,89,81
,,,,,,,,
Gabriel,,,,,,,,
DF 6.3,,,,,,,,
89,4.5,4.3,4.4,4.7,89,83,83,84
,,,,,,,,
Semenyo,,,,,,,,
MD 8.0,,,,,,,,
89,4.4,5.7,3.7,4.2,89,88,83,85
,,,,,,,,
Eze,,,,,,,,
MD 7.6,,,,,,,,
71,4.2,4.3,4.6,4.7,71,68,72,71
,,,,,,,,
J.Timber,,,,,,,,
DF 5.9,,,,,,,,
84,4.5,4.3,4.4,4.4,84,79,77,73
,,,,,,,,
Enzo,,,,,,,,
MD 6.7,,,,,,,,
73,2.9,5.4,3.9,5.2,55,82,79,81
,,,,,,,,
Isak,,,,,,,,
FW 10.6,,,,,,,,
72,4.7,4.4,4.7,3.5,72,75,77,69
,,,,,,,,
Sarr,,,,,,,,
MD 6.5,,,,,,,,
87,4.7,3.1,4.8,4.3,87,82,82,78
,,,,,,,,
Mateta,,,,,,,,
FW 7.5,,,,,,,,
82,4.7,3.2,4.6,4.4,82,79,73,76
,,,,,,,,
Watkins,,,,,,,,
FW 8.6,,,,,,,,
85,4.3,4.2,3.4,4.8,85,83,79,84
,,,,,,,,
Gordon,,,,,,,,
MD 7.4,,,,,,,,
74,3.9,4.6,4.2,3.8,74,71,70,66
,,,,,,,,
Kudus,,,,,,,,
MD 6.8,,,,,,,,
85,4.5,4,3.8,4.2,85,81,77,74
,,,,,,,,
Raya,,,,,,,,
GK 5.7,,,,,,,,
93,4.1,4.1,4.1,4.1,93,92,91,89
,,,,,,,,
Saliba,,,,,,,,
DF 6.0,,,,,,,,
88,4.1,3.9,4,4.2,88,84,83,82
,,,,,,,,
Virgil,,,,,,,,
DF 6.1,,,,,,,,
90,4.5,4.1,4.1,3.5,90,88,81,87
,,,,,,,,
Ndiaye,,,,,,,,
MD 6.5,,,,,,,,
83,3.5,4.1,4.4,4.3,83,73,79,74
,,,,,,,,
Bowen,,,,,,,,
FW 7.8,,,,,,,,
90,4.3,3.7,3.7,4.3,90,89,85,81
,,,,,,,,
Rice,,,,,,,,
MD 6.5,,,,,,,,
85,4.1,4,4,4,85,80,78,78
,,,,,,,,
Evanilson,,,,,,,,
FW 7.0,,,,,,,,
87,4,4.8,3.4,3.7,87,80,79,78
,,,,,,,,
Neto,,,,,,,,
MD 7.0,,,,,,,,
73,3,4.7,3.4,4.6,55,72,67,74
,,,,,,,,
Calvert-Lewin,,,,,,,,
FW 5.5,,,,,,,,
77,4.3,4.5,3.2,3.6,77,72,67,68
,,,,,,,,
Schade,,,,,,,,
MD 7.0,,,,,,,,
79,4.4,3.5,3.5,3.9,79,73,74,73
,,,,,,,,
L.Paquet�,,,,,,,,
MD 5.9,,,,,,,,
83,4.1,3.7,3.5,4.1,83,83,79,77
,,,,,,,,
Tarkowski,,,,,,,,
DF 5.5,,,,,,,,
91,3,3.8,4.3,4.2,91,87,86,87
,,,,,,,,
Cucurella,,,,,,,,
DF 6.1,,,,,,,,
83,3.7,4.6,3.1,4,83,80,80,73
,,,,,,,,
Calafiori,,,,,,,,
DF 5.7,,,,,,,,
66,3.9,3.8,3.7,3.9,66,61,58,59
,,,,,,,,
Gakpo,,,,,,,,
MD 7.5,,,,,,,,
66,4.3,3.8,4.2,3,66,63,67,61
,,,,,,,,
Est�v�o,,,,,,,,
MD 6.5,,,,,,,,
59,3.4,4.4,3.3,3.9,59,66,63,60
,,,,,,,,
Woltemade,,,,,,,,
FW 7.3,,,,,,,,
83,3.9,4.4,3.8,3,83,79,69,58
,,,,,,,,
Georginio,,,,,,,,
MD 5.7,,,,,,,,
78,4.1,3.7,4.1,3.1,78,72,65,61
,,,,,,,,
Mbeumo,,,,,,,,
MD 8.0,,,,,,,,
86,3.5,4.2,3.9,3.4,86,77,75,71
,,,,,,,,
Minteh,,,,,,,,
MD 6.0,,,,,,,,
86,4,3.6,4.1,3.3,86,78,77,72
,,,,,,,,
Trippier,,,,,,,,
DF 5.0,,,,,,,,
79,3.3,4.3,3.9,3.4,79,77,76,73
,,,,,,,,
Thiago,,,,,,,,
FW 6.1,,,,,,,,
70,4,3.5,3.5,3.9,70,69,72,72
,,,,,,,,
�e�ko,,,,,,,,
FW 7.3,,,,,,,,
80,3.3,4.1,3.8,3.5,80,78,77,75
,,,,,,,,
Foden,,,,,,,,
MD 8.1,,,,,,,,
68,4.5,3.4,3.8,3.1,68,61,61,56
,,,,,,,,
Stach,,,,,,,,
MD 5.0,,,,,,,,
83,3.9,4.1,3.3,3.4,83,80,77,75
,,,,,,,,
Donnarumma,,,,,,,,
GK 5.7,,,,,,,,
92,4,3.6,3.8,3.3,92,93,92,91
,,,,,,,,
Caicedo,,,,,,,,
MD 5.8,,,,,,,,
81,2.9,4.2,3.5,3.9,69,90,87,87
,,,,,,,,
Andersen,,,,,,,,
DF 4.5,,,,,,,,
93,3.2,3.2,4.5,3.6,93,88,89,85
,,,,,,,,
Mamardashvili,,,,,,,,
GK 4.3,,,,,,,,
93,3.8,3.7,3.9,3,93,93,93,89
,,,,,,,,
Reijnders,,,,,,,,
MD 5.8,,,,,,,,
81,4.2,3.4,3.7,3.1,81,78,76,71
,,,,,,,,
Pope,,,,,,,,
GK 5.1,,,,,,,,
94,3.5,3.8,3.6,3.4,94,89,89,87
,,,,,,,,
Damsgaard,,,,,,,,
MD 5.8,,,,,,,,
82,3.9,3.4,3.3,3.5,82,82,78,79
,,,,,,,,
Anderson,,,,,,,,
MD 5.4,,,,,,,,
83,3.5,3.3,3.7,3.6,83,79,83,77
,,,,,,,,
Szoboszlai,,,,,,,,
MD 6.5,,,,,,,,
67,4,3.5,3.7,2.9,67,64,64,63
,,,,,,,,
Senesi,,,,,,,,
DF 5.0,,,,,,,,
87,3.5,4.2,2.9,3.5,87,82,83,83
,,,,,,,,
E.Le F�e,,,,,,,,
MD 4.9,,,,,,,,
82,4.1,3.2,3.8,3,82,77,76,74
,,,,,,,,
Wirtz,,,,,,,,
MD 8.1,,,,,,,,
67,4.3,3.5,3.6,2.6,67,58,58,53
,,,,,,,,
Yeremy,,,,,,,,
MD 5.9,,,,,,,,
77,3.9,2.8,3.8,3.6,77,77,71,74
,,,,,,,,
Tonali,,,,,,,,
MD 5.4,,,,,,,,
86,3.3,3.7,3.6,3.3,86,84,83,81
,,,,,,,,
Gvardiol,,,,,,,,
DF 5.9,,,,,,,,
82,4.3,3.5,3.5,2.7,82,81,75,71
,,,,,,,,
Mu�oz,,,,,,,,
DF 5.6,,,,,,,,
89,4.1,2.4,4.1,3.3,89,88,79,71
,,,,,,,,
S�nchez,,,,,,,,
GK 4.9,,,,,,,,
85,3.3,4,2.9,3.7,85,88,82,84
,,,,,,,,
Bruno G.,,,,,,,,
MD 6.5,,,,,,,,
90,3.5,3.7,3.5,3.2,90,82,82,80
,,,,,,,,
Dewsbury-Hall,,,,,,,,
MD 5.0,,,,,,,,
88,3.1,3.6,3.5,3.7,88,82,79,80
,,,,,,,,
Burn,,,,,,,,
DF 5.1,,,,,,,,
90,3.1,4.2,3.7,2.9,90,92,85,76
,,,,,,,,
Lacroix,,,,,,,,
DF 5.1,,,,,,,,
89,3.9,2.6,3.9,3.5,89,84,84,80
,,,,,,,,
Xavi,,,,,,,,
MD 7.0,,,,,,,,
71,3.8,3.4,3.3,3.4,71,69,65,62
,,,,,,,,
Vicario,,,,,,,,
GK 5.1,,,,,,,,
94,3.6,3.5,3.3,3.4,94,92,93,90
,,,,,,,,
J.Arias,,,,,,,,
MD 5.2,,,,,,,,
75,3.9,4,3.1,2.8,75,70,67,68
,,,,,,,,
Konat�,,,,,,,,
DF 5.5,,,,,,,,
82,3.6,3.7,3.7,2.8,74,81,77,74
,,,,,,,,
Garnacho,,,,,,,,
MD 6.4,,,,,,,,
63,3.6,3.6,2.9,3.7,63,50,52,53
,,,,,,,,
Gu�hi,,,,,,,,
DF 4.9,,,,,,,,
91,3.8,2.5,3.9,3.5,91,87,88,87
,,,,,,,,
Pickford,,,,,,,,
GK 5.5,,,,,,,,
93,2.9,3.5,3.8,3.6,93,92,93,89
,,,,,,,,
Richards,,,,,,,,
DF 4.5,,,,,,,,
88,3.9,2.6,3.8,3.4,88,86,83,79
,,,,,,,,
Strand Larsen,,,,,,,,
FW 6.4,,,,,,,,
66,3.4,4.1,3.3,2.9,66,74,71,69
,,,,,,,,
Henderson,,,,,,,,
GK 5.0,,,,,,,,
93,3.6,2.8,3.7,3.5,93,92,93,92
,,,,,,,,
Rogers,,,,,,,,
MD 6.9,,,,,,,,
85,3.5,3.4,2.9,3.7,85,81,82,79
,,,,,,,,
Zubimendi,,,,,,,,
MD 5.5,,,,,,,,
86,3.4,3.4,3.4,3.3,86,83,81,77
,,,,,,,,
Rodon,,,,,,,,
DF 4.1,,,,,,,,
92,3.8,3.8,2.7,3.2,92,85,82,84
,,,,,,,,
Pedro Porro,,,,,,,,
DF 5.6,,,,,,,,
76,3.6,3.5,3,3.3,76,77,70,69
,,,,,,,,
Gibbs-White,,,,,,,,
MD 7.4,,,,,,,,
71,3.2,3.1,3.4,3.6,71,73,68,69
,,,,,,,,
Verbruggen,,,,,,,,
GK 4.4,,,,,,,,
94,3.4,3.1,3.7,3.1,94,92,90,92
,,,,,,,,
Petrovi?,,,,,,,,
GK 4.5,,,,,,,,
93,3.3,3.8,3,3.3,93,93,95,90
,,,,,,,,
Bogle,,,,,,,,
DF 4.5,,,,,,,,
84,3.6,4.1,2.6,3,84,84,82,82
,,,,,,,,
Areola,,,,,,,,
GK 4.3,,,,,,,,
89,3.4,3.1,3.1,3.7,89,90,89,92
,,,,,,,,
Cunha,,,,,,,,
MD 8.0,,,,,,,,
48,2.3,3.5,4,3.5,48,57,72,67
,,,,,,,,
Est�ve,,,,,,,,
DF 4.0,,,,,,,,
92,3.7,3.6,2.5,3.4,92,91,87,86
,,,,,,,,
Joelinton,,,,,,,,
MD 5.9,,,,,,,,
66,2.2,3.8,3.7,3.5,50,76,76,78
,,,,,,,,
Van Hecke,,,,,,,,
DF 4.4,,,,,,,,
91,3.4,3.1,3.7,3,91,88,82,84
,,,,,,,,
Kluivert,,,,,,,,
MD 7.0,,,,,,,,
62,3.2,4.2,2.8,2.9,62,63,61,54
,,,,,,,,
Mitoma,,,,,,,,
MD 6.3,,,,,,,,
48,1.8,3.6,4.2,3.4,36,83,82,78
,,,,,,,,
Leno,,,,,,,,
GK 5.0,,,,,,,,
93,2.9,3,3.8,3.3,93,93,93,92
,,,,,,,,
O.Dango,,,,,,,,
MD 6.0,,,,,,,,
71,3.7,3,3,3.2,71,65,65,63
,,,,,,,,
Roefs,,,,,,,,
GK 4.6,,,,,,,,
92,3.7,2.9,3.5,2.9,92,92,91,92
,,,,,,,,
Gravenberch,,,,,,,,
MD 5.7,,,,,,,,
84,3.6,3.3,3.3,2.9,84,82,78,78
,,,,,,,,
Mitchell,,,,,,,,
DF 5.0,,,,,,,,
83,3.6,2.2,3.8,3.4,83,80,82,79
,,,,,,,,
Kilman,,,,,,,,
DF 4.4,,,,,,,,
91,3.4,3.2,2.8,3.5,91,88,84,80
,,,,,,,,
Chalobah,,,,,,,,
DF 5.1,,,,,,,,
74,3.4,3.7,2.7,3.2,74,64,65,58
,,,,,,,,
Ayari,,,,,,,,
MD 4.9,,,,,,,,
84,3.4,3.1,3.4,2.9,84,78,75,73
,,,,,,,,
D�bravka,,,,,,,,
GK 4.0,,,,,,,,
93,3.5,3.4,2.7,3.3,93,93,90,92
,,,,,,,,
Tavernier,,,,,,,,
MD 5.5,,,,,,,,
69,3.3,4,2.6,2.9,69,67,60,58
,,,,,,,,
Kelleher,,,,,,,,
GK 4.5,,,,,,,,
94,3.5,2.9,3.1,3.3,94,93,93,94
,,,,,,,,
Iwobi,,,,,,,,
MD 6.5,,,,,,,,
80,3,3,3.8,3.1,80,77,75,72
,,,,,,,,
Sels,,,,,,,,
GK 4.9,,,,,,,,
93,3.1,2.9,3.2,3.6,93,91,91,92
,,,,,,,,
Martinez,,,,,,,,
GK 5.0,,,,,,,,
94,3.3,3.2,2.8,3.6,94,92,90,92
,,,,,,,,
Gudmundsson,,,,,,,,
DF 4.0,,,,,,,,
82,3.5,3.9,2.5,2.9,82,81,79,77
,,,,,,,,
Collins,,,,,,,,
DF 4.9,,,,,,,,
89,3.8,2.9,2.9,3.2,89,90,81,83
,,,,,,,,
Ekdal,,,,,,,,
DF 4.0,,,,,,,,
88,3.6,3.4,2.4,3.3,88,85,85,83
,,,,,,,,
Gomes,,,,,,,,
MD 5.4,,,,,,,,
89,3.6,3.6,2.9,2.6,89,86,77,72
,,,,,,,,
Romero,,,,,,,,
DF 5.1,,,,,,,,
89,3.5,3.4,2.8,3,89,86,77,75
,,,,,,,,
Murillo,,,,,,,,
DF 5.4,,,,,,,,
75,2.7,3,3.2,3.7,75,87,81,83
,,,,,,,,
O'Brien,,,,,,,,
DF 5.0,,,,,,,,
89,2.3,3.1,3.7,3.5,89,84,87,82
,,,,,,,,
Mykolenko,,,,,,,,
DF 4.9,,,,,,,,
90,2.3,3.2,3.5,3.6,90,83,80,82
,,,,,,,,
Lammens,,,,,,,,
GK 5.0,,,,,,,,
91,3,3.3,3.3,3,91,90,91,87
,,,,,,,,
Wilson,,,,,,,,
MD 5.3,,,,,,,,
73,3.3,3.1,3.6,2.5,73,66,61,49
,,,,,,,,
Anthony,,,,,,,,
MD 5.7,,,,,,,,
74,3.4,3.4,2.6,3.2,67,71,64,66
,,,,,,,,
Mac Allister,,,,,,,,
MD 6.3,,,,,,,,
50,2.6,3.4,3.4,3,50,73,68,73
,,,,,,,,
Diouf,,,,,,,,
DF 4.4,,,,,,,,
87,3.3,2.8,2.7,3.6,87,85,85,80
,,,,,,,,
Ampadu,,,,,,,,
MD 4.9,,,,,,,,
88,3.2,3.3,2.8,2.9,88,86,82,81
,,,,,,,,
Van den Berg,,,,,,,,
DF 4.5,,,,,,,,
92,3.7,2.6,2.9,3,92,85,86,82
,,,,,,,,
Garner,,,,,,,,
MD 5.0,,,,,,,,
82,2.9,3.1,3.1,3.1,82,78,75,74
,,,,,,,,
Van de Ven,,,,,,,,
DF 4.8,,,,,,,,
90,3.3,3.1,2.7,3,90,87,81,81
,,,,,,,,
Truffert,,,,,,,,
DF 4.5,,,,,,,,
87,3,4,2.3,2.9,87,85,85,84
,,,,,,,,
Diakit�,,,,,,,,
DF 4.5,,,,,,,,
88,3,3.8,2.4,2.9,88,86,83,83
,,,,,,,,
Milenkovi?,,,,,,,,
DF 5.3,,,,,,,,
89,2.9,2.7,3.1,3.4,89,88,86,83
,,,,,,,,
Mavropanos,,,,,,,,
DF 4.4,,,,,,,,
80,3.2,2.8,2.6,3.5,80,73,71,74
,,,,,,,,
Wharton,,,,,,,,
MD 5.0,,,,,,,,
76,3.2,2.7,3.1,3,76,75,71,73
,,,,,,,,
Branthwaite,,,,,,,,
DF 5.3,,,,,,,,
60,0.9,3.5,3.9,3.7,30,86,86,81
,,,,,,,,
James,,,,,,,,
DF 5.4,,,,,,,,
61,3,3.4,2.2,3.3,61,53,50,54
,,,,,,,,
J.Palhinha,,,,,,,,
MD 5.5,,,,,,,,
79,3.2,3,2.8,2.8,79,78,73,70
,,,,,,,,
Xhaka,,,,,,,,
MD 5.0,,,,,,,,
91,3.4,2.9,3,2.4,91,87,80,73
,,,,,,,,
Dunk,,,,,,,,
DF 4.5,,,,,,,,
87,3.2,2.7,3.4,2.5,87,83,77,73
,,,,,,,,
Ndoye,,,,,,,,
MD 5.9,,,,,,,,
67,2.8,2.6,3.1,3.2,67,65,66,67
,,,,,,,,
Gana,,,,,,,,
MD 5.4,,,,,,,,
82,2.9,3,3,3,82,77,73,74
,,,,,,,,
Cash,,,,,,,,
DF 4.6,,,,,,,,
85,3.2,3,2.2,3.4,85,84,78,76
,,,,,,,,
Krej?�,,,,,,,,
DF 4.5,,,,,,,,
89,3.6,3.7,2.7,1.8,89,82,78,71
,,,,,,,,
Wan-Bissaka,,,,,,,,
DF 4.3,,,,,,,,
81,3.1,2.7,2.6,3.3,81,78,79,75
,,,,,,,,
Mukiele,,,,,,,,
DF 4.0,,,,,,,,
88,3.9,2.4,3.3,2.2,88,85,79,78
,,,,,,,,
Struijk,,,,,,,,
DF 4.5,,,,,,,,
76,3.2,3.4,2.5,2.6,76,72,74,67
,,,,,,,,
Wood,,,,,,,,
FW 7.3,,,,,,,,
62,2.5,2.6,3.1,3.3,47,50,53,56
,,,,,,,,
Alderete,,,,,,,,
DF 4.1,,,,,,,,
75,3,2.5,3.6,2.5,64,86,83,86
,,,,,,,,
Wilson,,,,,,,,
FW 5.9,,,,,,,,
64,3.2,2.8,2.7,2.8,64,62,58,50
,,,,,,,,
Bassey,,,,,,,,
DF 4.5,,,,,,,,
91,2.4,2.4,3.6,2.9,91,85,87,86
,,,,,,,,
M.Fernandes,,,,,,,,
MD 5.5,,,,,,,,
68,2.9,2.7,2.7,3.1,68,68,66,68
,,,,,,,,
Trossard,,,,,,,,
MD 6.9,,,,,,,,
45,2.9,2.8,3,2.6,45,43,44,37
,,,,,,,,
R�ben,,,,,,,,
DF 5.5,,,,,,,,
77,3.6,2.8,2.8,2.1,77,74,67,62
,,,,,,,,
Kamara,,,,,,,,
MD 4.9,,,,,,,,
78,2.8,2.8,2.7,2.8,78,81,81,75
,,,,,,,,
Cullen,,,,,,,,
MD 5.0,,,,,,,,
81,3.1,2.8,2.5,2.8,81,72,71,72
,,,,,,,,
King,,,,,,,,
MD 4.5,,,,,,,,
71,2.7,2.7,3.1,2.6,71,68,62,60
,,,,,,,,
Thiaw,,,,,,,,
DF 4.9,,,,,,,,
73,2.7,3.2,2.8,2.5,73,69,64,63
,,,,,,,,
Elanga,,,,,,,,
MD 6.8,,,,,,,,
52,2.6,3.3,2.8,2.4,52,56,50,44
,,,,,,,,
Welbeck,,,,,,,,
FW 6.3,,,,,,,,
55,3.1,2.6,2.8,2.5,55,49,43,48
,,,,,,,,
Florentino,,,,,,,,
MD 5.0,,,,,,,,
77,2.9,2.9,2.6,2.7,77,78,75,73
,,,,,,,,
Kayode,,,,,,,,
DF 4.5,,,,,,,,
86,3.4,2.3,2.6,2.9,86,81,82,81
,,,,,,,,
De Ligt,,,,,,,,
DF 5.0,,,,,,,,
89,2.3,3.2,2.9,2.6,89,84,77,76
,,,,,,,,
Summerville,,,,,,,,
MD 5.5,,,,,,,,
53,2.7,2.6,2.6,3.1,53,58,57,57
,,,,,,,,
Konsa,,,,,,,,
DF 4.5,,,,,,,,
92,2.9,2.7,2,3.2,92,89,88,87
,,,,,,,,
Marmoush,,,,,,,,
