name,position,cost,xmins,ep_gw24,ep_gw25,ep_gw26
M.Salah,MID,13.7,90,12.9,12.5,4.9
Watkins,FWD,8.9,85,5.0,9.1,4.6
Alexander-Arnold,DEF,7.4,81,8.0,7.8,2.8
Palmer,MID,11.3,91,7.3,6.0,5.2
A.Becker,GKP,5.5,93,7.5,6.5,3.3
Luis Díaz,MID,7.5,62,7.5,7.0,2.7
Ødegaard,MID,8.2,91,5.0,6.3,5.6
Gakpo,FWD,7.6,65,7.2,6.5,2.9
Szoboszlai,MID,6.3,73,7.4,6.3,2.8
Son,MID,9.8,70,4.3,6.4,5.4
Virgil,DEF,6.4,90,6.9,6.6,2.4
Mbeumo,MID,7.9,90,5.6,4.8,5.2
Havertz,FWD,7.8,89,4.6,5.7,5.1
Robertson,DEF,5.9,70,6.6,6.5,2.3
Mac Allister,MID,6.2,79,6.2,5.9,2.7
Isak,FWD,9.5,88,5.7,4.0,5.0
Haaland,FWD,14.7,87,4.3,5.9,4.5
Ndiaye,FWD,5.5,84,7.8,3.4,3.5
Martinelli,MID,6.7,72,4.1,5.4,5.0
Rogers,MID,5.6,80,3.9,6.9,3.5
B.Fernandes,MID,8.3,88,5.3,4.5,4.4
Konaté,DEF,5.2,73,5.6,6.0,2.3
Semenyo,MID,5.6,89,3.7,5.1,5.0
Gravenberch,MID,5.0,85,5.8,5.3,2.4
Kluivert,MID,5.8,78,4.0,4.9,4.6
E. Martinez,GKP,5.0,94,3.6,6.3,3.4
Mateta,FWD,7.4,81,4.2,5.2,3.9
Pickford,GKP,5.1,93,6.7,3.2,3.3
Gordon,MID,7.7,86,4.9,3.5,4.5
O.Dango,MID,5.0,76,3.5,4.3,4.9
Tielemans,MID,5.5,87,3.4,6.1,3.1
Foden,MID,9.3,84,3.7,4.8,4.0
Beto,FWD,4.9,78,7.9,2.7,1.9
Amad,MID,5.6,87,4.6,3.9,3.9
Kulusevski,MID,6.4,88,3.8,4.7,3.8
McGinn,MID,5.2,69,3.1,6.0,3.2
N.Jackson,FWD,7.8,73,4.6,4.1,3.5
C. Wood,FWD,7.0,84,4.7,3.8,3.7
João Pedro,FWD,5.5,76,3.8,4.1,4.3
Raúl,FWD,5.6,69,3.3,5.0,3.8
Diogo J.,MID,7.2,29,3.7,5.9,2.4
Wissa,FWD,6.3,87,4.4,3.7,3.9
Gabriel,DEF,6.4,94,3.3,4.7,3.9
Nwaneri,MID,4.5,55,3.2,4.4,4.2
Saliba,DEF,6.2,92,3.1,4.6,4.1
Richarlison,FWD,6.8,75,3.8,4.7,3.2
Trossard,MID,6.8,58,3.3,4.6,3.9
Iwobi,MID,5.8,87,3.3,4.6,3.5
I.Sarr,MID,5.7,81,3.7,4.2,3.4
A.Doucoure,MID,5.1,82,5.9,2.6,2.7
Digne,DEF,4.6,75,3.2,5.2,2.7
Leno,GKP,5.0,94,3.2,4.4,3.5
Gibbs-White,MID,6.4,81,4.2,3.6,3.2
Konsa,DEF,4.4,91,3.1,5.3,2.6
J.Murphy,MID,5.1,86,4.4,3.0,3.6
Mitoma,MID,6.3,78,3.4,3.5,4.1
J.Timber,DEF,5.6,83,3.1,4.1,3.7
Vardy,FWD,5.4,83,3.8,3.1,3.9
Pedro Porro,DEF,5.4,78,3.0,4.4,3.3
Rice,MID,6.2,84,3.0,4.0,3.6
De Bruyne,MID,9.4,69,3.1,4.1,3.5
Lindstrøm,MID,5.0,58,5.5,2.6,2.5
Delap,FWD,5.6,74,4.4,2.9,3.3
Arrizabalaga,GKP,4.5,93,3.1,3.8,3.6
Cunha,FWD,6.8,88,4.2,2.8,3.4
Bowen,MID,7.3,70,2.5,4.7,3.3
Mykolenko,DEF,4.4,82,5.5,2.2,2.6
Flekken,GKP,4.4,95,3.5,3.3,3.5
Andre Onana,GKP,5.0,94,3.5,3.2,3.5
Verbruggen,GKP,4.5,92,3.3,3.2,3.7
Malen,MID,5.5,39,2.5,4.8,2.8
Tavernier,MID,5.4,47,2.2,3.5,4.3
Henderson,GKP,4.5,94,3.3,3.5,3.2
Sels,GKP,5.0,94,3.5,3.4,3.1
Smith Rowe,MID,5.2,72,2.9,4.1,3.0
Elanga,MID,5.3,73,3.9,3.3,2.8
Kudus,MID,6.2,85,3.4,4.0,2.6
Walton,GKP,4.3,94,3.7,3.1,3.2
Raya,GKP,5.5,84,1.6,4.3,4.0
Enzo,MID,4.8,87,3.6,3.5,2.8
Kerkez,DEF,4.9,91,2.2,3.9,3.8
Tarkowski,DEF,4.8,91,5.1,2.1,2.5
Hutchinson,MID,5.2,80,3.9,2.8,3.0
Madueke,MID,6.1,55,3.4,3.2,3.0
Welbeck,FWD,5.5,65,3.0,3.1,3.4
Huijsen,DEF,4.4,91,2.0,3.7,3.8
Ramsdale,GKP,4.4,94,3.3,3.1,3.1
Sancho,MID,6.2,61,3.4,3.4,2.7
Branthwaite,DEF,4.8,89,5.0,2.0,2.5
José Sá,GKP,4.3,92,3.2,3.0,3.1
Darwin,FWD,7.0,34,3.9,3.9,1.6
Ramsey,MID,5.4,58,2.7,4.4,2.2
Muñoz,DEF,4.8,92,2.8,3.8,2.6
Robinson,DEF,5.1,91,2.1,3.9,3.1
Højlund,FWD,6.9,48,2.8,3.0,3.3
Gana,MID,4.8,78,4.8,2.0,2.2
Harrison,MID,5.2,51,5.2,1.9,1.9
Bruno G.,MID,6.1,89,3.3,2.5,3.1
Ederson M.,GKP,5.3,79,2.7,3.4,2.8
Cucurella,DEF,5.1,87,3.6,2.8,2.5
Hall,DEF,5.1,89,3.6,1.8,3.4
Kamara,MID,5.0,89,2.5,4.1,2.1
Castagne,DEF,4.2,86,2.0,3.7,2.9
Joelinton,MID,6.0,86,3.3,2.5,2.8
Onuachu,FWD,4.9,63,3.1,2.8,2.8
Zabarnyi,DEF,4.4,91,1.9,3.3,3.4
Pope,GKP,4.9,49,1.9,3.1,3.6
Van de Ven,DEF,4.5,87,2.3,3.3,2.9
Lewis-Potter,MID,5.0,77,2.8,2.8,2.9
Schär,DEF,5.4,88,3.5,1.7,3.2
Dalot,DEF,5.0,87,3.3,2.4,2.8
Bernardo,MID,6.2,84,2.7,3.2,2.6
Gvardiol,DEF,5.9,90,2.3,3.5,2.6
Andersen,DEF,4.2,90,2.0,3.6,2.8
El Khannouss,MID,4.8,69,2.9,2.6,3.0
L.Paquetá,MID,5.7,66,2.2,3.6,2.5
Dunk,DEF,4.2,86,2.4,2.6,3.3
Mitchell,DEF,4.8,90,2.5,3.4,2.4
Hee Chan,MID,6.1,76,3.8,2.3,2.2
Davis,DEF,4.4,88,4.0,1.8,2.5
Schade,MID,5.1,57,3.2,2.5,2.6
Hermansen,GKP,4.4,74,2.0,3.0,3.3
Andreas,MID,5.0,47,2.1,3.4,2.6
Jaden,MID,5.3,72,3.7,2.4,2.1
Christie,MID,4.9,84,2.5,3.0,2.6
James,DEF,4.8,52,2.8,2.9,2.4
Colwill,DEF,4.5,86,3.3,2.5,2.3
Guéhi,DEF,4.6,92,2.4,3.3,2.3
J. O'Brien,DEF,4.5,73,4.4,1.7,1.9
Van Hecke,DEF,4.5,93,2.4,2.4,3.2
Damsgaard,MID,5.0,64,2.8,2.5,2.6
