col1,col2,col3,col4,col5,col6,col7,col8
M.Salah,,,,,,,
MD 12.8,,,,,,,
87,6.7,6.8,4.7,18.2,0.47,69.00%,Submit
,,,,,,,
Haaland,,,,,,,
FW 15.3,,,,,,,
89,6.3,6.7,4.6,17.6,0.38,37.50%,Submit
,,,,,,,
Saka,,,,,,,
MD 10.1,,,,,,,
87,5,6.1,5.2,16.3,0.54,19.60%,Submit
,,,,,,,
Mbeumo,,,,,,,
MD 7.9,,,,,,,
88,5.4,4.7,5.4,15.6,0.66,99.60%,Submit
,,,,,,,
B.Fernandes,,,,,,,
MD 8.3,,,,,,,
83,5.4,4.6,5.4,15.4,0.62,39.60%,Submit
,,,,,,,
Palmer,,,,,,,
MD 11.0,,,,,,,
77,4,5.9,5.5,15.4,0.47,70.30%,Submit
,,,,,,,
Solanke,,,,,,,
FW 7.7,,,,,,,
92,6.4,3.3,4.9,14.7,0.64,74.80%,Submit
,,,,,,,
Son,,,,,,,
MD 9.9,,,,,,,
74,5.8,3.6,5.1,14.4,0.49,21.60%,Submit
,,,,,,,
Foden,,,,,,,
MD 9.3,,,,,,,
75,5.1,5.3,3.6,14,0.5,15.60%,Submit
,,,,,,,
Mateta,,,,,,,
FW 7.3,,,,,,,
90,5.2,4.1,4.3,13.6,0.62,0.00%,Submit
,,,,,,,
Isak,,,,,,,
FW 8.4,,,,,,,
89,4.6,5,4,13.6,0.54,3.40%,Submit
,,,,,,,
Bowen,,,,,,,
MD 7.5,,,,,,,
91,5.5,4,3.9,13.4,0.6,3.70%,Submit
,,,,,,,
Rashford,,,,,,,
MD 6.9,,,,,,,
72,4.7,4.3,4.1,13,0.63,3.20%,Submit
,,,,,,,
Luis D�az,,,,,,,
MD 7.7,,,,,,,
72,4.7,4.7,3.4,12.9,0.56,0.80%,Submit
,,,,,,,
Gordon,,,,,,,
MD 7.2,,,,,,,
88,4.3,4.6,3.9,12.8,0.59,0.10%,Submit
,,,,,,,
Wood,,,,,,,
FW 6.6,,,,,,,
85,4.4,3.2,4.9,12.5,0.63,23.10%,Submit
,,,,,,,
Alexander-Arnold,,,,,,,
DF 7.0,,,,,,,
80,4.5,5.1,2.8,12.4,0.59,50.40%,Submit
,,,,,,,
�degaard,,,,,,,
MD 8.2,,,,,,,
58,2.8,5.3,4.3,12.4,0.5,0.00%,Submit
,,,,,,,
Havertz,,,,,,,
FW 8.0,,,,,,,
85,3.8,4.4,4.1,12.3,0.51,4.10%,Submit
,,,,,,,
Cunha,,,,,,,
FW 6.7,,,,,,,
79,4.5,3.5,4,12,0.6,23.60%,Submit
,,,,,,,
Watkins,,,,,,,
FW 9.0,,,,,,,
79,3.4,4.7,3.8,11.9,0.44,2.00%,Submit
,,,,,,,
Garnacho,,,,,,,
MD 6.4,,,,,,,
73,4.2,3.7,3.7,11.6,0.6,7.30%,Submit
,,,,,,,
Welbeck,,,,,,,
FW 5.9,,,,,,,
82,3.5,3.5,4.6,11.6,0.66,1.30%,Submit
,,,,,,,
Ra�l,,,,,,,
FW 5.8,,,,,,,
72,3.7,4.5,3.3,11.5,0.66,36.20%,Submit
,,,,,,,
De Bruyne,,,,,,,
MD 9.4,,,,,,,
47,3.2,4.4,3.8,11.3,0.4,0.00%,Submit
,,,,,,,
Strand Larsen,,,,,,,
FW 5.6,,,,,,,
80,4.6,3.1,3.6,11.3,0.67,1.90%,Submit
,,,,,,,
Johnson,,,,,,,
MD 6.7,,,,,,,
83,5,2.6,3.6,11.2,0.56,16.50%,Submit
,,,,,,,
Martinelli,,,,,,,
MD 6.9,,,,,,,
69,3.5,4.2,3.4,11.1,0.54,0.00%,Submit
,,,,,,,
Raya,,,,,,,
GK 5.6,,,,,,,
92,3.5,4,3.6,11.1,0.66,24.90%,Submit
,,,,,,,
Kamada,,,,,,,
MD 5.1,,,,,,,
87,4.6,3.3,3.2,11.1,0.72,0.00%,Submit
,,,,,,,
Calvert-Lewin,,,,,,,
FW 5.8,,,,,,,
72,3.8,4,3.3,11.1,0.64,57.10%,Submit
,,,,,,,
Pedro Porro,,,,,,,
DF 5.5,,,,,,,
89,5.2,1.7,4.1,11.1,0.67,50.60%,Submit
,,,,,,,
Onana,,,,,,,
GK 5.1,,,,,,,
92,3.7,3.6,3.7,11,0.72,0.00%,Submit
,,,,,,,
Vardy,,,,,,,
FW 5.7,,,,,,,
79,3.6,3.9,3.6,11,0.64,1.70%,Submit
,,,,,,,
Wissa,,,,,,,
FW 6.0,,,,,,,
75,3.8,3.5,3.7,11,0.61,1.70%,Submit
,,,,,,,
Ederson M.,,,,,,,
GK 5.5,,,,,,,
95,3.9,3.8,3.3,11,0.67,5.00%,Submit
,,,,,,,
N.Jackson,,,,,,,
FW 7.9,,,,,,,
80,3.9,3.5,3.6,11,0.46,1.10%,Submit
,,,,,,,
Darwin,,,,,,,
FW 7.1,,,,,,,
60,3.8,4.4,2.7,11,0.51,2.80%,Submit
,,,,,,,
Gibbs-White,,,,,,,
MD 6.3,,,,,,,
77,3.7,2.7,4.5,10.9,0.58,0.00%,Submit
,,,,,,,
Kulusevski,,,,,,,
MD 6.3,,,,,,,
82,4.6,2.6,3.6,10.8,0.57,0.40%,Submit
,,,,,,,
Vicario,,,,,,,
GK 5.0,,,,,,,
92,4,3.2,3.6,10.7,0.72,0.20%,Submit
,,,,,,,
I.Sarr,,,,,,,
MD 5.7,,,,,,,
90,4.6,3.1,3,10.7,0.62,0.00%,Submit
,,,,,,,
Semenyo,,,,,,,
MD 5.6,,,,,,,
91,3.9,3.5,3.1,10.6,0.63,27.70%,Submit
,,,,,,,
