id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
1,Raya,GKP,ARS,0.0,4,0.10526315789473684,1.0,360,23.3,4.7,5.5,5
2,Arrizabalaga,GKP,ARS,0.0,0,0.0,0.0,0,0.6,0.0,4.4,5
3,Hein,GKP,ARS,1.0,0,0.0,0.0,0,0.4,0.0,4.0,5
4,Setford,GKP,ARS,0.0,0,0.0,0.0,0,0.2,0.0,4.0,5
5,Gabriel,DEF,ARS,0.0,4,0.10526315789473684,1.0,360,21.9,5.7,6.1,5
6,Saliba,DEF,ARS,0.0,3,0.07894736842105263,1.47,184,12.4,2.3,6.0,5
7,Calafiori,DEF,ARS,0.0,4,0.10526315789473684,1.24,291,13.8,6.7,5.7,5
8,J.Timber,DEF,ARS,0.0,3,0.07894736842105263,1.03,262,12.5,11.3,5.7,5
9,Kiwior,DEF,ARS,1.0,0,0.0,0.0,0,0.1,0.0,5.4,5
10,Lewis-Skelly,DEF,ARS,0.0,0,0.0,0.0,66,2.2,0.7,5.3,5
11,B. White,DEF,ARS,0.5,1,0.02631578947368421,1.29,70,0.5,0.0,5.4,5
13,Clarke,DEF,ARS,0.0,0,0.0,0.0,0,0.5,0.0,4.0,5
14,Kacurri,DEF,ARS,0.0,0,0.0,0.0,0,0.2,0.0,3.9,5
15,Nichols,DEF,ARS,0.0,0,0.0,0.0,0,0.2,0.0,3.9,5
16,Saka,MID,ARS,0.5,2,0.05263157894736842,1.27,142,3.6,1.0,9.8,5
17,Ødegaard,MID,ARS,0.5,3,0.07894736842105263,1.65,164,2.1,0.5,7.9,5
18,Madueke,MID,ARS,0.0,3,0.07894736842105263,1.04,259,1.7,2.7,7.0,5
19,Martinelli,MID,ARS,0.0,2,0.05263157894736842,1.29,140,1.0,1.3,6.9,5
20,Trossard,MID,ARS,0.0,0,0.0,0.0,48,0.3,1.7,6.9,5
21,Rice,MID,ARS,0.0,3,0.07894736842105263,0.95,284,8.5,3.7,6.5,5
22,Merino,MID,ARS,0.0,2,0.05263157894736842,1.08,166,0.5,2.0,5.9,5
23,Fábio Vieira,MID,ARS,1.0,0,0.0,0.0,0,0.0,0.0,5.4,5
24,Nørgaard,MID,ARS,0.0,0,0.0,0.0,0,0.2,0.0,5.4,5
25,Nwaneri,MID,ARS,0.0,0,0.0,0.0,124,0.2,1.3,5.3,5
26,Zubimendi,MID,ARS,0.0,4,0.10526315789473684,1.0,360,3.7,6.7,5.4,5
28,Kabia,MID,ARS,1.0,0,0.0,0.0,0,0.2,0.0,4.5,5
29,Sambi,MID,ARS,1.0,0,0.0,0.0,0,0.1,0.0,4.5,5
30,Havertz,FWD,ARS,1.0,0,0.0,0.0,30,0.4,0.0,7.3,5
31,G.Jesus,FWD,ARS,1.0,0,0.0,0.0,0,0.0,0.0,6.5,5
266,Eze,MID,ARS,0.0,2,0.05263157894736842,0.99,181,12.1,2.3,7.5,5
662,C. Mosquera,DEF,ARS,0.0,1,0.02631578947368421,0.45,201,0.2,3.3,5.4,5
666,Gyökeres,FWD,ARS,0.0,4,0.10526315789473684,1.18,306,25.4,6.3,9.0,5
700,Dowman,MID,ARS,0.0,0,0.0,0.0,27,0.4,1.7,4.5,5
711,Harriman-Annous,MID,ARS,0.0,0,0.0,0.0,0,0.0,0.0,4.5,5
725,Hincapie,DEF,ARS,0.0,0,0.0,0.0,0,0.0,3.2,5.5,5
32,E. Martinez,GKP,AST,0.0,2,0.05263157894736842,1.0,180,2.2,3.2,5.0,5
33,M.Bizot,GKP,AST,0.0,2,0.05263157894736842,1.0,180,0.7,0.5,4.5,5
34,Gauci,GKP,AST,1.0,0,0.0,0.0,0,0.2,0.0,4.0,5
35,Marschall,GKP,AST,1.0,0,0.0,0.0,0,0.0,0.0,4.0,5
36,Cash,DEF,AST,0.0,4,0.10526315789473684,1.05,343,5.0,2.8,4.5,5
37,Digne,DEF,AST,0.0,3,0.07894736842105263,1.08,250,2.0,3.2,4.5,5
38,Konsa,DEF,AST,0.0,3,0.07894736842105263,1.1,245,12.7,2.8,4.5,5
39,Maatsen,DEF,AST,0.0,1,0.02631578947368421,0.83,109,0.6,1.2,4.4,5
40,Mings,DEF,AST,0.0,4,0.10526315789473684,1.0,360,1.5,4.5,4.5,5
