id,name,position,team,prob_injury,starts,starts_perc,starts_per_90,minutes,selected_by_percent,ep_next,now_cost,gw
328,M.Salah,MID,LIV,0.0,20,0.5263157894736842,1.02,1763,70.3,12.0,13.7,22
401,Isak,FWD,NEW,0.0,19,0.5,1.11,1542,57.8,11.0,9.4,22
348,Foden,MID,MCI,0.0,12,0.3157894736842105,0.95,1139,6.4,8.5,9.2,22
432,Elanga,MID,NOT,0.0,15,0.39473684210526316,1.12,1202,6.2,8.3,5.3,22
422,Aina,DEF,NOT,0.0,21,0.5526315789473685,1.04,1823,27.6,7.9,5.3,22
571,Savinho,MID,MCI,0.0,13,0.34210526315789475,1.09,1077,5.6,7.7,6.5,22
398,Gordon,MID,NEW,0.0,19,0.5,1.08,1588,25.2,7.6,7.7,22
447,C. Wood,FWD,NOT,0.0,20,0.5263157894736842,1.08,1661,40.4,7.1,7.0,22
443,Sels,GKP,NOT,0.0,21,0.5526315789473685,1.0,1890,16.9,7.1,5.0,22
329,Mac Allister,MID,LIV,0.0,17,0.4473684210526316,1.08,1411,1.7,7.0,6.2,22
364,Amad,MID,MUN,0.0,14,0.3684210526315789,0.95,1321,22.4,7.0,5.5,22
437,N.Williams,DEF,NOT,0.0,11,0.2894736842105263,0.91,1083,2.0,6.7,4.3,22
399,Hall,DEF,NEW,0.0,18,0.47368421052631576,0.97,1677,24.2,6.6,5.0,22
321,Gakpo,FWD,LIV,0.0,12,0.3157894736842105,1.01,1071,8.8,6.2,7.4,22
78,Semenyo,MID,BOU,0.0,20,0.5263157894736842,1.03,1746,6.2,6.2,5.6,22
580,Huijsen,DEF,BOU,0.0,10,0.2631578947368421,0.93,970,3.8,6.2,4.4,22
396,Dúbravka,GKP,NEW,0.0,6,0.15789473684210525,1.0,540,2.8,6.2,4.3,22
54,Rogers,MID,AST,0.0,20,0.5263157894736842,1.09,1649,22.3,6.1,5.5,22
402,J.Murphy,MID,NEW,0.0,14,0.3684210526315789,1.15,1096,5.4,6.0,5.1,22
433,Gibbs-White,MID,NOT,0.0,17,0.4473684210526316,1.14,1340,4.5,5.9,6.4,22
573,Milenković,DEF,NOT,0.0,20,0.5263157894736842,1.0,1800,8.6,5.7,4.8,22
182,Palmer,MID,CHE,0.25,21,0.5526315789473685,1.03,1838,68.4,5.6,11.4,22
99,Mbeumo,MID,BRE,0.0,21,0.5526315789473685,1.0,1885,32.1,5.6,7.8,22
311,Alexander-Arnold,DEF,LIV,0.0,18,0.47368421052631576,1.09,1484,26.7,5.6,7.2,22
351,Haaland,FWD,MCI,0.0,21,0.5526315789473685,1.0,1882,30.4,5.5,14.8,22
436,Murillo,DEF,NOT,0.0,20,0.5263157894736842,1.01,1777,3.6,5.5,4.6,22
403,Joelinton,MID,NEW,0.0,20,0.5263157894736842,1.08,1672,1.7,5.4,6.0,22
70,Kerkez,DEF,BOU,0.0,21,0.5526315789473685,1.04,1817,7.5,5.2,4.8,22
395,Burn,DEF,NEW,0.0,20,0.5263157894736842,1.0,1800,7.9,5.2,4.4,22
394,Bruno G.,MID,NEW,0.0,21,0.5526315789473685,1.03,1835,2.1,5.0,6.1,22
252,Raúl,FWD,FUL,0.0,16,0.42105263157894735,1.1,1312,13.6,5.0,5.7,22
259,H. Wilson,MID,FUL,0.0,6,0.15789473684210525,0.79,687,0.9,5.0,5.2,22
82,Solanke,FWD,TOT,0.0,18,0.47368421052631576,1.01,1598,8.7,4.9,7.5,22
336,Szoboszlai,MID,LIV,0.0,13,0.34210526315789475,0.96,1217,1.5,4.8,6.3,22
247,Iwobi,MID,FUL,0.0,21,0.5526315789473685,1.05,1806,8.6,4.8,5.9,22
23,Trossard,MID,ARS,0.0,13,0.34210526315789475,0.98,1188,1.8,4.7,6.8,22
9,Martinelli,MID,ARS,0.0,13,0.34210526315789475,0.98,1195,3.7,4.7,6.7,22
16,Rice,MID,ARS,0.0,17,0.4473684210526316,1.04,1469,2.6,4.7,6.2,22
199,Eze,MID,CRY,0.0,17,0.4473684210526316,1.08,1415,9.0,4.6,6.7,22
